clock	state	temp_act	temp_ext	temp_int	temp_set	time	watch
20250513 203459	1	1.37	0.6	4.7	0	3600	415.62058210372925
20250513 203501	1	1.37	0.6	4.7	0	3600	417.28058433532715
20250513 203503	1	1.37	0.6	4.7	0	3600	418.94058656692505
20250513 203504	1	1.37	0.6	4.7	0	3600	420.60058879852295
20250513 203506	1	1.37	0.6	4.7	0	3600	422.26059126853943
20250513 203508	1	1.37	0.6	4.7	0	3600	423.92059350013733
20250513 203509	1	1.37	0.6	4.7	0	3600	425.58059573173523
20250513 203511	1	1.37	0.6	4.7	0	3600	427.2405982017517
20250513 203513	1	1.37	0.6	4.7	0	3600	428.9006004333496
20250513 203514	1	1.37	0.6	4.7	0	3600	430.5606026649475
20250513 203516	1	1.37	0.6	4.7	0	3600	432.22060537338257
20250513 203518	1	1.37	0.6	4.7	0	3600	433.88060760498047
20250513 203519	1	1.37	0.6	4.7	0	3600	435.54060983657837
20250513 203521	1	1.37	0.6	4.7	0	3600	437.20061230659485
20250513 203523	1	1.37	0.6	4.7	0	3600	438.86061453819275
20250513 203524	1	1.37	0.6	4.7	0	3600	440.52061676979065
20250513 203526	1	1.37	0.6	4.7	0	3600	442.18061900138855
20250513 203528	1	1.37	0.6	4.7	0	3600	443.84062147140503
20250513 203529	1	1.37	0.6	4.7	0	3600	445.50062370300293
20250513 203531	1	1.37	0.6	4.7	0	3600	447.16062593460083
20250513 203532	1	1.37	0.6	4.7	0	3600	448.8206284046173
20250513 203534	1	1.37	0.6	4.7	0	3600	450.4806306362152
20250513 203536	1	1.37	0.6	4.7	0	3600	452.1406331062317
20250513 203537	1	1.37	0.6	4.7	0	3600	453.80063557624817
20250513 203539	1	1.37	0.6	4.7	0	3600	455.46063780784607
20250513 203541	1	1.37	0.6	4.7	0	3600	457.12064003944397
20250513 203542	1	1.37	0.6	4.7	0	3600	458.78064250946045
20250513 203544	1	1.37	0.6	4.7	0	3600	460.44064474105835
20250513 203546	1	1.37	0.6	4.7	0	3600	462.10064697265625
20250513 203547	1	1.37	0.6	4.7	0	3600	463.76064920425415
20250513 203549	1	1.44	0.6	4.7	0	3600	465.42065167427063
20250513 203551	1	1.75	0.6	4.7	0	3600	467.08065390586853
20250513 203552	1	2.06	0.6	4.7	0	3600	468.74065613746643
20250513 203554	1	2.25	0.6	4.7	0	3600	470.4006586074829
20250513 203556	1	2.63	0.6	4.7	0	3600	472.0606608390808
20250513 203557	1	2.94	0.6	4.7	0	3600	473.7206633090973
20250513 203559	1	3.0	0.6	4.7	0	3600	475.38066577911377
20250513 203601	1	3.06	0.6	4.7	0	3600	477.04066801071167
20250513 203602	1	3.13	0.6	4.7	0	3600	478.70067024230957
20250513 203604	1	3.13	0.6	4.7	0	3600	480.36067271232605
20250513 203606	1	3.19	0.6	4.8	0	3600	482.02067494392395
20250513 203607	1	3.19	0.6	4.8	0	3600	483.68067717552185
20250513 203609	1	3.19	0.6	4.8	0	3600	485.34067940711975
20250513 203611	1	3.25	0.6	4.8	0	3600	487.00068187713623
20250513 203612	1	3.25	0.6	4.8	0	3600	488.66068410873413
20250513 203614	1	3.25	0.6	4.8	0	3600	490.32068634033203
20250513 203616	1	3.25	0.6	4.8	0	3600	491.9806888103485
20250513 203617	1	3.25	0.6	4.9	0	3600	493.640691280365
20250513 203619	1	3.25	0.6	4.9	0	3600	495.3006935119629
20250513 203621	1	3.19	0.6	4.9	0	3600	496.96069598197937
20250513 203622	1	3.19	0.6	4.9	0	3600	498.62069821357727
20250513 203624	1	3.19	0.6	4.9	0	3600	500.28070044517517
20250513 203626	1	3.19	0.6	4.9	0	3600	501.94070291519165
20250513 203627	1	3.13	0.6	4.9	0	3600	503.60070514678955
20250513 203629	1	3.13	0.6	4.9	0	3600	505.26070737838745
20250513 203631	1	3.06	0.6	4.9	0	3600	506.92070984840393
20250513 203632	1	3.06	0.6	4.9	0	3600	508.58071208000183
20250513 203634	1	3.06	0.6	4.9	0	3600	510.24071431159973
20250513 203636	1	3.0	0.6	5.0	0	3600	511.90071654319763
20250513 203637	1	3.0	0.6	5.0	0	3600	513.5607190132141
20250513 203639	1	2.94	0.6	5.0	0	3600	515.2207214832306
20250513 203641	1	2.94	0.6	5.0	0	3600	516.8807237148285
20250513 203642	1	2.88	0.6	5.0	0	3600	518.540726184845
20250513 203644	1	2.88	0.6	5.0	0	3600	520.2007284164429
20250513 203646	1	2.88	0.6	5.0	0	3600	521.8607306480408
20250513 203647	1	2.81	0.6	5.0	0	3600	523.5207331180573
20250513 203649	1	2.81	0.6	5.0	0	3600	525.1807353496552
20250513 203651	1	2.75	0.6	5.0	0	3600	526.840737581253
20250513 203652	1	2.75	0.6	5.0	0	3600	528.5007400512695
20250513 203654	1	2.69	0.6	5.0	0	3600	530.1607422828674
20250513 203655	1	2.69	0.6	5.0	0	3600	531.8207445144653
20250513 203657	1	2.69	0.6	5.0	0	3600	533.4807467460632
20250513 203659	1	2.63	0.6	5.0	0	3600	535.1407494544983
20250513 203700	1	2.63	0.6	5.0	0	3600	536.7907516956329
20250513 203702	1	2.56	0.6	5.0	0	3600	538.4507539272308
20250513 203704	1	2.56	0.6	5.0	0	3600	540.1107561588287
20250513 203705	1	2.56	0.6	5.0	0	3600	541.7707583904266
20250513 203707	1	2.5	0.6	5.0	0	3600	543.4307610988617
20250513 203709	1	2.5	0.6	5.0	0	3600	545.0907633304596
20250513 203710	1	2.5	0.6	5.0	0	3600	546.7507653236389
20250513 203712	1	2.44	0.6	5.0	0	3600	548.4107677936554
20250513 203714	1	2.44	0.6	5.0	0	3600	550.0707702636719
20250513 203715	1	2.44	0.6	5.0	0	3600	551.7307724952698
20250513 203717	1	2.38	0.6	5.0	0	3600	553.3907749652863
