eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
1B,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.105893019,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,2.92294E-05,1bar
1C,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.117866711,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,3.25345E-05,1bar
250A,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.145390667,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,4.01319E-05,250bar
250B,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.190375488,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,5.25489E-05,250bar
250C,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.053507876,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,1.47697E-05,250bar
1A,CL 64:3_28.89,0.047151121,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,1.3015E-05,1bar
1B,CL 64:3_28.89,0.045415566,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,1.2536E-05,1bar
1C,CL 64:3_28.89,0.037960731,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,1.04782E-05,1bar
250A,CL 64:3_28.89,0.03680316,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,1.01587E-05,250bar
250B,CL 64:3_28.89,0.072811331,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,2.0098E-05,250bar
250C,CL 64:3_28.89,0.017378296,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,4.79689E-06,250bar
1A,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.557117724,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.00015378,1bar
1B,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.527682559,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.000145655,1bar
1C,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.687681323,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.000189819,1bar
250A,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.76902815,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.000212273,250bar
250B,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.848083195,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.000234095,250bar
250C,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.30856189,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,8.51717E-05,250bar
1A,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.510355589,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.0004169,1bar
1B,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.402425946,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.000387109,1bar
