eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
250A,PE 31:0_15.01 | 16:0/15:0,6.158097526,PE,2,NA,31,0,15.01,NA,16,0,NA,15,0,NA,NA,NA,TRUE,16:0/15:0,0.001699806,250bar
250B,PE 31:0_15.01 | 16:0/15:0,7.823066456,PE,2,NA,31,0,15.01,NA,16,0,NA,15,0,NA,NA,NA,TRUE,16:0/15:0,0.002159384,250bar
250C,PE 31:0_15.01 | 16:0/15:0,6.370023914,PE,2,NA,31,0,15.01,NA,16,0,NA,15,0,NA,NA,NA,TRUE,16:0/15:0,0.001758304,250bar
1A,PE 31:1_13.18 | 14:0/17:1,9.220006256,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.002544978,1bar
1B,PE 31:1_13.18 | 14:0/17:1,8.500436628,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.002346357,1bar
1C,PE 31:1_13.18 | 14:0/17:1,9.7318364,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.002686257,1bar
250A,PE 31:1_13.18 | 14:0/17:1,6.498821148,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.001793855,250bar
250B,PE 31:1_13.18 | 14:0/17:1,7.651010595,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.002111892,250bar
250C,PE 31:1_13.18 | 14:0/17:1,7.469234654,PE,2,NA,31,1,13.18,NA,14,0,NA,17,1,NA,NA,NA,TRUE,14:0/17:1,0.002061716,250bar
1A,PE 32:0_16.64 | 16:0/16:0,50.16752657,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.013847632,1bar
1B,PE 32:0_16.64 | 16:0/16:0,61.84724045,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.017071557,1bar
1C,PE 32:0_16.64 | 16:0/16:0,86.52107307,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.023882221,1bar
250A,PE 32:0_16.64 | 16:0/16:0,72.76239941,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.020084444,250bar
250B,PE 32:0_16.64 | 16:0/16:0,86.65397062,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.023918904,250bar
250C,PE 32:0_16.64 | 16:0/16:0,75.8385613,PE,2,NA,32,0,16.64,NA,16,0,NA,16,0,NA,NA,NA,TRUE,16:0/16:0,0.020933551,250bar
1A,PE 32:1_14.36 | 15:0/17:1,5.92017529,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001634133,1bar
1B,PE 32:1_14.36 | 15:0/17:1,5.840727708,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001612203,1bar
1C,PE 32:1_14.36 | 15:0/17:1,6.877329971,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001898334,1bar
250A,PE 32:1_14.36 | 15:0/17:1,5.108656172,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001410131,250bar
250B,PE 32:1_14.36 | 15:0/17:1,4.544155895,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001254313,250bar
250C,PE 32:1_14.36 | 15:0/17:1,4.474574665,PE,2,NA,32,1,14.36,NA,15,0,NA,17,1,NA,NA,NA,TRUE,15:0/17:1,0.001235107,250bar
1A,PE 32:1_14.36 | 16:0/16:1,8.713736938,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.002405234,1bar
1B,PE 32:1_14.36 | 16:0/16:1,12.81585621,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.003537532,1bar
1C,PE 32:1_14.36 | 16:0/16:1,13.79844982,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.003808756,1bar
250A,PE 32:1_14.36 | 16:0/16:1,11.0919552,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.003061688,250bar
250B,PE 32:1_14.36 | 16:0/16:1,10.7807055,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.002975774,250bar
250C,PE 32:1_14.36 | 16:0/16:1,14.24798734,PE,2,NA,32,1,14.36,NA,16,0,NA,16,1,NA,NA,NA,TRUE,16:0/16:1,0.00393284,250bar
1A,PE 33:0_18.55 | 16:0/17:0,1.727418373,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.000476815,1bar
1B,PE 33:0_18.55 | 16:0/17:0,1.483707082,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.000409544,1bar
1C,PE 33:0_18.55 | 16:0/17:0,1.361323448,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.000375763,1bar
250A,PE 33:0_18.55 | 16:0/17:0,1.002817874,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.000276806,250bar
250B,PE 33:0_18.55 | 16:0/17:0,1.185062006,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.00032711,250bar
250C,PE 33:0_18.55 | 16:0/17:0,0.848429103,PE,2,NA,33,0,18.55,NA,16,0,NA,17,0,NA,NA,NA,TRUE,16:0/17:0,0.00023419,250bar
1A,PE 33:1_16.00 | 16:0/17:1,131.5022545,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.036298277,1bar
1B,PE 33:1_16.00 | 16:0/17:1,135.4401563,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.037385247,1bar
1C,PE 33:1_16.00 | 16:0/17:1,208.3682047,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.057515416,1bar
250A,PE 33:1_16.00 | 16:0/17:1,115.0076811,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.031745316,250bar
250B,PE 33:1_16.00 | 16:0/17:1,126.3912435,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.034887496,250bar
250C,PE 33:1_16.00 | 16:0/17:1,136.0546532,PE,2,NA,33,1,16,NA,16,0,NA,17,1,NA,NA,NA,TRUE,16:0/17:1,0.037554866,250bar
1A,PE 33:2_13.89 | 16:1_17:1,0.221255733,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,6.10727E-05,1bar
1B,PE 33:2_13.89 | 16:1_17:1,0.233597649,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,6.44794E-05,1bar
1C,PE 33:2_13.89 | 16:1_17:1,0.222583226,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,6.14392E-05,1bar
250A,PE 33:2_13.89 | 16:1_17:1,0.210349661,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,5.80624E-05,250bar
250B,PE 33:2_13.89 | 16:1_17:1,0.184851358,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,5.10241E-05,250bar
250C,PE 33:2_13.89 | 16:1_17:1,0.212270399,PE,2,NA,33,2,13.89,NA,16,1,NA,17,1,NA,NA,NA,FALSE,16:1_17:1,5.85925E-05,250bar
1A,PE 34:0_20.50 | 16:0/18:0,3.613289253,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000997368,1bar
1B,PE 34:0_20.50 | 16:0/18:0,3.1725559,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000875714,1bar
1C,PE 34:0_20.50 | 16:0/18:0,3.270645558,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000902789,1bar
250A,PE 34:0_20.50 | 16:0/18:0,2.523628372,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000696592,250bar
250B,PE 34:0_20.50 | 16:0/18:0,3.064433775,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000845869,250bar
250C,PE 34:0_20.50 | 16:0/18:0,2.15305474,PE,2,NA,34,0,20.5,NA,16,0,NA,18,0,NA,NA,NA,TRUE,16:0/18:0,0.000594303,250bar
1A,PE 34:1_17.17 | 16:0/18:1,11.76388118,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.003247158,1bar
1B,PE 34:1_17.17 | 16:0/18:1,12.68640691,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.003501801,1bar
1C,PE 34:1_17.17 | 16:0/18:1,14.92662659,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.004120164,1bar
250A,PE 34:1_17.17 | 16:0/18:1,3.516174962,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000970562,250bar
250B,PE 34:1_17.17 | 16:0/18:1,3.681013418,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.001016062,250bar
250C,PE 34:1_17.17 | 16:0/18:1,4.45707755,PE,2,NA,34,1,17.17,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.001230277,250bar
1A,PE 34:1_17.78 | 15:0/19:1,1.300064515,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000358854,1bar
1B,PE 34:1_17.78 | 15:0/19:1,2.128340068,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000587481,1bar
1C,PE 34:1_17.78 | 15:0/19:1,1.197540545,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000330554,1bar
250A,PE 34:1_17.78 | 15:0/19:1,1.313788978,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000362642,250bar
250B,PE 34:1_17.78 | 15:0/19:1,1.238579856,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000341882,250bar
250C,PE 34:1_17.78 | 15:0/19:1,1.445898835,PE,2,NA,34,1,17.78,NA,15,0,NA,19,1,NA,NA,NA,TRUE,15:0/19:1,0.000399108,250bar
1A,PE 34:1_17.78 | 16:0/18:1,1.844299999,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000509078,1bar
1B,PE 34:1_17.78 | 16:0/18:1,2.892014571,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000798276,1bar
1C,PE 34:1_17.78 | 16:0/18:1,1.984495489,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000547776,1bar
250A,PE 34:1_17.78 | 16:0/18:1,2.021737091,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000558056,250bar
250B,PE 34:1_17.78 | 16:0/18:1,1.981634453,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000546986,250bar
250C,PE 34:1_17.78 | 16:0/18:1,2.097757779,PE,2,NA,34,1,17.78,NA,16,0,NA,18,1,NA,NA,NA,TRUE,16:0/18:1,0.000579039,250bar
1A,PE 34:1_17.78 | 17:0/17:1,1.981888476,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.000547056,1bar
1B,PE 34:1_17.78 | 17:0/17:1,1.956482294,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.000540043,1bar
1C,PE 34:1_17.78 | 17:0/17:1,3.698835247,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.001020981,1bar
250A,PE 34:1_17.78 | 17:0/17:1,4.001513932,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.001104529,250bar
250B,PE 34:1_17.78 | 17:0/17:1,4.176435937,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.001152812,250bar
250C,PE 34:1_17.78 | 17:0/17:1,4.160401054,PE,2,NA,34,1,17.78,NA,17,0,NA,17,1,NA,NA,NA,TRUE,17:0/17:1,0.001148386,250bar
1A,PE 34:2_14.58 | 18:1/16:1,0.776251642,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000214267,1bar
1B,PE 34:2_14.58 | 18:1/16:1,0.719408819,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000198577,1bar
1C,PE 34:2_14.58 | 18:1/16:1,0.61247163,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000169059,1bar
250A,PE 34:2_14.58 | 18:1/16:1,0.468462736,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000129309,250bar
250B,PE 34:2_14.58 | 18:1/16:1,0.479710598,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000132413,250bar
250C,PE 34:2_14.58 | 18:1/16:1,0.748205419,PE,2,NA,34,2,14.58,NA,18,1,NA,16,1,NA,NA,NA,TRUE,18:1/16:1,0.000206525,250bar
1A,PE 34:2_15.33 | 17:1/17:1,6.53740763,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.001804506,1bar
1B,PE 34:2_15.33 | 17:1/17:1,5.883668031,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.001624056,1bar
1C,PE 34:2_15.33 | 17:1/17:1,6.083760256,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.001679287,1bar
250A,PE 34:2_15.33 | 17:1/17:1,3.475364586,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.000959297,250bar
250B,PE 34:2_15.33 | 17:1/17:1,3.505233425,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.000967542,250bar
250C,PE 34:2_15.33 | 17:1/17:1,3.682925397,PE,2,NA,34,2,15.33,NA,17,1,NA,17,1,NA,NA,NA,TRUE,17:1/17:1,0.00101659,250bar
1A,PE 35:1_19.58 | 16:0/19:1,66.7868051,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.018435014,1bar
1B,PE 35:1_19.58 | 16:0/19:1,82.11736841,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.022666676,1bar
1C,PE 35:1_19.58 | 16:0/19:1,102.8232722,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.028382081,1bar
250A,PE 35:1_19.58 | 16:0/19:1,56.76535603,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.015668816,250bar
250B,PE 35:1_19.58 | 16:0/19:1,58.69905688,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.016202571,250bar
250C,PE 35:1_19.58 | 16:0/19:1,57.72718985,PE,2,NA,35,1,19.58,NA,16,0,NA,19,1,NA,NA,NA,TRUE,16:0/19:1,0.015934309,250bar
1A,PE 35:2_16.44 | 16:1_19:1,0.125884774,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,3.47477E-05,1bar
1B,PE 35:2_16.44 | 16:1_19:1,0.151932551,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,4.19376E-05,1bar
1C,PE 35:2_16.44 | 16:1_19:1,0.136027352,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,3.75473E-05,1bar
250A,PE 35:2_16.44 | 16:1_19:1,0.102724706,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,2.83549E-05,250bar
250B,PE 35:2_16.44 | 16:1_19:1,0.096967071,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,2.67656E-05,250bar
250C,PE 35:2_16.44 | 16:1_19:1,0.07958064,PE,2,NA,35,2,16.44,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,2.19665E-05,250bar
1A,PE 35:2_16.44 | 18:1/17:1,0.672861481,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,0.000185728,1bar
1B,PE 35:2_16.44 | 18:1/17:1,0.601980149,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,0.000166163,1bar
1C,PE 35:2_16.44 | 18:1/17:1,0.783593838,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,0.000216294,1bar
250A,PE 35:2_16.44 | 18:1/17:1,0.29602342,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,8.17107E-05,250bar
250B,PE 35:2_16.44 | 18:1/17:1,0.25486516,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,7.03499E-05,250bar
250C,PE 35:2_16.44 | 18:1/17:1,0.291349834,PE,2,NA,35,2,16.44,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,8.04207E-05,250bar
1B,PE 35:2_16.94 | 16:1_19:1,0.181787445,PE,2,NA,35,2,16.94,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,5.01784E-05,1bar
1C,PE 35:2_16.94 | 16:1_19:1,0.174535159,PE,2,NA,35,2,16.94,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,4.81766E-05,1bar
250A,PE 35:2_16.94 | 16:1_19:1,0.228112332,PE,2,NA,35,2,16.94,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,6.29653E-05,250bar
250B,PE 35:2_16.94 | 16:1_19:1,0.2225384,PE,2,NA,35,2,16.94,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,6.14268E-05,250bar
250C,PE 35:2_16.94 | 16:1_19:1,0.270846876,PE,2,NA,35,2,16.94,NA,16,1,NA,19,1,NA,NA,NA,FALSE,16:1_19:1,7.47613E-05,250bar
1B,PE 35:2_16.94 | 18:1/17:1,0.193563958,PE,2,NA,35,2,16.94,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,5.3429E-05,1bar
1C,PE 35:2_16.94 | 18:1/17:1,0.177352691,PE,2,NA,35,2,16.94,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,4.89543E-05,1bar
250A,PE 35:2_16.94 | 18:1/17:1,0.178048069,PE,2,NA,35,2,16.94,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,4.91462E-05,250bar
250B,PE 35:2_16.94 | 18:1/17:1,0.159616258,PE,2,NA,35,2,16.94,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,4.40585E-05,250bar
250C,PE 35:2_16.94 | 18:1/17:1,0.210888388,PE,2,NA,35,2,16.94,NA,18,1,NA,17,1,NA,NA,NA,TRUE,18:1/17:1,5.82111E-05,250bar
1A,PE 36:1_21.48 | 16:0_20:1,0.289678643,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,7.99594E-05,1bar
1B,PE 36:1_21.48 | 16:0_20:1,0.228748949,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,6.31411E-05,1bar
1C,PE 36:1_21.48 | 16:0_20:1,0.186376102,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,5.1445E-05,1bar
250A,PE 36:1_21.48 | 16:0_20:1,0.166339577,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,4.59143E-05,250bar
250B,PE 36:1_21.48 | 16:0_20:1,0.182866133,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,5.04761E-05,250bar
250C,PE 36:1_21.48 | 16:0_20:1,0.1507201,PE,2,NA,36,1,21.48,NA,16,0,NA,20,1,NA,NA,NA,FALSE,16:0_20:1,4.16029E-05,250bar
1A,PE 36:1_21.48 | 17:0/19:1,1.931331954,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000533101,1bar
1B,PE 36:1_21.48 | 17:0/19:1,1.548158685,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000427335,1bar
1C,PE 36:1_21.48 | 17:0/19:1,1.341153288,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000370196,1bar
250A,PE 36:1_21.48 | 17:0/19:1,0.980937394,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000270766,250bar
250B,PE 36:1_21.48 | 17:0/19:1,1.085836622,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000299721,250bar
250C,PE 36:1_21.48 | 17:0/19:1,0.922787684,PE,2,NA,36,1,21.48,NA,17,0,NA,19,1,NA,NA,NA,TRUE,17:0/19:1,0.000254715,250bar
1A,PE 36:2_18.83 | 19:1/17:1,29.19883983,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.008059691,1bar
1B,PE 36:2_18.83 | 19:1/17:1,26.50788092,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.007316912,1bar
1C,PE 36:2_18.83 | 19:1/17:1,28.38096082,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.007833934,1bar
250A,PE 36:2_18.83 | 19:1/17:1,16.46868227,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.004545814,250bar
250B,PE 36:2_18.83 | 19:1/17:1,16.57808384,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.004576012,250bar
250C,PE 36:2_18.83 | 19:1/17:1,17.18515183,PE,2,NA,36,2,18.83,NA,19,1,NA,17,1,NA,NA,NA,TRUE,19:1/17:1,0.00474358,250bar
1A,PE 37:1_23.32 | 18:0/19:1,2.09395863,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000577991,1bar
1B,PE 37:1_23.32 | 18:0/19:1,1.696365889,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000468244,1bar
1C,PE 37:1_23.32 | 18:0/19:1,1.595329005,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000440355,1bar
250A,PE 37:1_23.32 | 18:0/19:1,1.133402897,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000312851,250bar
250B,PE 37:1_23.32 | 18:0/19:1,1.246590029,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000344093,250bar
250C,PE 37:1_23.32 | 18:0/19:1,1.106170156,PE,2,NA,37,1,23.32,NA,18,0,NA,19,1,NA,NA,NA,TRUE,18:0/19:1,0.000305334,250bar
1A,PE 37:2_20.08 | 18:1/19:1,0.282432671,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,7.79593E-05,1bar
1B,PE 37:2_20.08 | 18:1/19:1,0.656398916,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,0.000181184,1bar
1C,PE 37:2_20.08 | 18:1/19:1,0.617001451,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,0.00017031,1bar
250A,PE 37:2_20.08 | 18:1/19:1,0.19958605,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,5.50913E-05,250bar
250B,PE 37:2_20.08 | 18:1/19:1,0.15773059,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,4.3538E-05,250bar
250C,PE 37:2_20.08 | 18:1/19:1,0.155769392,PE,2,NA,37,2,20.08,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,4.29967E-05,250bar
1A,PE 37:2_20.78 | 17:1_20:1,0.051778528,PE,2,NA,37,2,20.78,NA,17,1,NA,20,1,NA,NA,NA,FALSE,17:1_20:1,1.42923E-05,1bar
1B,PE 37:2_20.78 | 17:1_20:1,0.037164073,PE,2,NA,37,2,20.78,NA,17,1,NA,20,1,NA,NA,NA,FALSE,17:1_20:1,1.02583E-05,1bar
250A,PE 37:2_20.78 | 17:1_20:1,0.015879866,PE,2,NA,37,2,20.78,NA,17,1,NA,20,1,NA,NA,NA,FALSE,17:1_20:1,4.38328E-06,250bar
1A,PE 37:2_20.78 | 18:1/19:1,0.675098198,PE,2,NA,37,2,20.78,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,0.000186346,1bar
1B,PE 37:2_20.78 | 18:1/19:1,0.248536199,PE,2,NA,37,2,20.78,NA,18,1,NA,19,1,NA,NA,NA,TRUE,18:1/19:1,6.86029E-05,1bar
