eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	PG 32:0_13.77 | 16:0/16:0	7.750230505	PG	2	NA	32	0	13.77	NA	16	0	NA	16	0	NA	NA	NA	TRUE	16:0/16:0	0.002139279	1bar	Ecoli	NA	1
1A	PG 32:1_12.11 | 15:0/17:1	0.50584513	PG	2	NA	32	1	12.11	NA	15	0	NA	17	1	NA	NA	NA	TRUE	15:0/17:1	1.39627e-4	1bar	Ecoli	NA	1
1A	PG 32:1_12.11 | 16:0/16:1	4.366969389	PG	2	NA	32	1	12.11	NA	16	0	NA	16	1	NA	NA	NA	TRUE	16:0/16:1	0.001205405	1bar	Ecoli	NA	1
1A	PG 33:0_15.11 | 16:0_17:0	0.079823052	PG	2	NA	33	0	15.11	NA	16	0	NA	17	0	NA	NA	NA	FALSE	16:0_17:0	2.20334e-5	1bar	Ecoli	NA	1
1A	PG 33:1_13.31 | 16:0/17:1	30.04778257	PG	2	NA	33	1	13.31	NA	16	0	NA	17	1	NA	NA	NA	TRUE	16:0/17:1	0.008294023	1bar	Ecoli	NA	1
1A	PG 34:0_16.75 | 16:0_18:0	0.197649461	PG	2	NA	34	0	16.75	NA	16	0	NA	18	0	NA	NA	NA	FALSE	16:0_18:0	5.45567e-5	1bar	Ecoli	NA	1
1A	PG 34:1_14.11 | 16:0/18:1	2.159603473	PG	2	NA	34	1	14.11	NA	16	0	NA	18	1	NA	NA	NA	TRUE	16:0/18:1	5.96111e-4	1bar	Ecoli	NA	1
1A	PG 34:1_14.53 | 15:0/19:1	0.146833193	PG	2	NA	34	1	14.53	NA	15	0	NA	19	1	NA	NA	NA	TRUE	15:0/19:1	4.053e-5	1bar	Ecoli	NA	1
1A	PG 34:1_14.53 | 16:0/18:1	0.216875828	PG	2	NA	34	1	14.53	NA	16	0	NA	18	1	NA	NA	NA	TRUE	16:0/18:1	5.98638e-5	1bar	Ecoli	NA	1
1A	PG 34:1_14.53 | 17:0/17:1	0.300611727	PG	2	NA	34	1	14.53	NA	17	0	NA	17	1	NA	NA	NA	TRUE	17:0/17:1	8.29772e-5	1bar	Ecoli	NA	1
1A	PG 34:2_12.38 | 18:1/16:1	0.954933465	PG	2	NA	34	2	12.38	NA	18	1	NA	16	1	NA	NA	NA	TRUE	18:1/16:1	2.63588e-4	1bar	Ecoli	NA	1
1A	PG 34:2_12.85 | 17:1/17:1	0.562588611	PG	2	NA	34	2	12.85	NA	17	1	NA	17	1	NA	NA	NA	TRUE	17:1/17:1	1.5529e-4	1bar	Ecoli	NA	1
1A	PG 35:1_15.90 | 16:0/19:1	9.274078407	PG	2	NA	35	1	15.9	NA	16	0	NA	19	1	NA	NA	NA	TRUE	16:0/19:1	0.002559903	1bar	Ecoli	NA	1
1A	PG 35:1_15.90 | 18:0/17:1	0.07460836	PG	2	NA	35	1	15.9	NA	18	0	NA	17	1	NA	NA	NA	TRUE	18:0/17:1	2.0594e-5	1bar	Ecoli	NA	1
1A	PG 36:1_17.66 | 16:0/20:1	0.031416833	PG	2	NA	36	1	17.66	NA	16	0	NA	20	1	NA	NA	NA	TRUE	16:0/20:1	8.67192e-6	1bar	Ecoli	NA	1
1A	PG 36:1_17.66 | 17:0/19:1	0.123383248	PG	2	NA	36	1	17.66	NA	17	0	NA	19	1	NA	NA	NA	TRUE	17:0/19:1	3.40572e-5	1bar	Ecoli	NA	1
1A	PG 36:2_14.46 | 18:1/18:1	0.716298957	PG	2	NA	36	2	14.46	NA	18	1	NA	18	1	NA	NA	NA	TRUE	18:1/18:1	1.97718e-4	1bar	Ecoli	NA	1
1A	PG 36:2_15.33 | 17:1_19:1	2.991838034	PG	2	NA	36	2	15.33	NA	17	1	NA	19	1	NA	NA	NA	FALSE	17:1_19:1	8.2583e-4	1bar	Ecoli	NA	1
1A	PG 37:1_19.53 | 18:0/19:1	0.046078557	PG	2	NA	37	1	19.53	NA	18	0	NA	19	1	NA	NA	NA	TRUE	18:0/19:1	1.2719e-5	1bar	Ecoli	NA	1
1A	PG 38:2_18.64 | 19:1/19:1	2.232825768	PG	2	NA	38	2	18.64	NA	19	1	NA	19	1	NA	NA	NA	TRUE	19:1/19:1	6.16322e-4	1bar	Ecoli	NA	1
1A	CL 62:1_28.64 | 14:0_15:0_16:0_17:1	0.023928173	CL	1	NA	62	1	28.64	NA	14	0	NA	15	0	NA	NA	NA	FALSE	14:0_15:0_16:0_17:1	6.60484e-6	1bar	Ecoli	NA	1
1A	CL 62:1_28.64 | 14:0_16:0_16:0_16:1	0.040777465	CL	1	NA	62	1	28.64	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_16:0_16:1	1.12557e-5	1bar	Ecoli	NA	1
1A	CL 62:1_28.64 | 15:0_15:0_16:0_16:1	0.006801358	CL	1	NA	62	1	28.64	NA	15	0	NA	15	0	NA	NA	NA	FALSE	15:0_15:0_16:0_16:1	1.87736e-6	1bar	Ecoli	NA	1
1A	CL 62:3_28.55	0.040520271	CL	1	NA	62	3	28.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	62:03:00	1.11847e-5	1bar	Ecoli	NA	1
1A	CL 63:1_28.82 | 14:0_16:0_16:0_17:1	1.696472674	CL	1	NA	63	1	28.82	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_16:0_17:1	4.68274e-4	1bar	Ecoli	NA	1
1A	CL 63:2_28.57 | 14:1_16:0_16:0_17:1	0.026515951	CL	1	NA	63	2	28.57	NA	14	1	NA	16	0	NA	NA	NA	FALSE	14:1_16:0_16:0_17:1	7.31914e-6	1bar	Ecoli	NA	1
1A	CL 64:0_29.21 | 16:0_16:0_16:0_16:0	0.213851203	CL	1	NA	64	0	29.21	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:0_16:0	5.90289e-5	1bar	Ecoli	NA	1
1A	CL 64:1_28.94 | 14:0_16:0_16:0_18:1	0.021139067	CL	1	NA	64	1	28.94	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_16:0_18:1	5.83497e-6	1bar	Ecoli	NA	1
1A	CL 64:1_28.94 | 15:0_16:0_16:0_17:1	0.066182419	CL	1	NA	64	1	28.94	NA	15	0	NA	16	0	NA	NA	NA	FALSE	15:0_16:0_16:0_17:1	1.82682e-5	1bar	Ecoli	NA	1
1A	CL 64:1_28.94 | 16:0_16:0_16:0_16:1	0.037632834	CL	1	NA	64	1	28.94	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:0_16:1	1.03877e-5	1bar	Ecoli	NA	1
1A	CL 64:2_28.73 | 14:0_16:0_17:1_17:1	0.125377711	CL	1	NA	64	2	28.73	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_17:1_17:1	3.46077e-5	1bar	Ecoli	NA	1
1A	CL 64:3_28.89	0.047151121	CL	1	NA	64	3	28.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	64:03:00	1.3015e-5	1bar	Ecoli	NA	1
1A	CL 65:1_29.12 | 14:0_16:0_16:0_19:1	0.557117724	CL	1	NA	65	1	29.12	NA	14	0	NA	16	0	NA	NA	NA	FALSE	14:0_16:0_16:0_19:1	1.5378e-4	1bar	Ecoli	NA	1
1A	CL 65:1_29.12 | 16:0_16:0_16:0_17:1	1.510355589	CL	1	NA	65	1	29.12	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_16:0_17:1	4.169e-4	1bar	Ecoli	NA	1
1A	CL 65:2_28.89 | 15:0_16:0_17:1_17:1	0.037703592	CL	1	NA	65	2	28.89	NA	15	0	NA	16	0	NA	NA	NA	FALSE	15:0_16:0_17:1_17:1	1.04072e-5	1bar	Ecoli	NA	1
