eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar,group
1B,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.041218921,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,0.256526746,1bar
1C,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.035596479,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,0.221535376,1bar
250A,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.046232557,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,0.287729209,250bar
1A,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.125377711,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.169793828,1bar
1B,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.105893019,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.143406519,1bar
1C,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.117866711,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.159621993,1bar
250A,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.145390667,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.196896544,250bar
250B,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.190375488,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.25781762,250bar
250C,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.053507876,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,0.072463495,250bar
1A,CL 64:3_28.89,0.047151121,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.183096783,1bar
1B,CL 64:3_28.89,0.045415566,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.176357291,1bar
1C,CL 64:3_28.89,0.037960731,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.14740875,1bar
250A,CL 64:3_28.89,0.03680316,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.14291368,250bar
250B,CL 64:3_28.89,0.072811331,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.282740263,250bar
250C,CL 64:3_28.89,0.017378296,CL,1,NA,64,3,28.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,64:03:00,0.067483233,250bar
1A,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.557117724,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.150647485,1bar
1B,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.527682559,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.142688065,1bar
1C,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.687681323,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.18595255,1bar
250A,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.76902815,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.207949148,250bar
250B,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.848083195,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.229326037,250bar
250C,CL 65:1_29.12 | 14:0_16:0_16:0_19:1,0.30856189,CL,1,NA,65,1,29.12,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_19:1,0.083436715,250bar
1A,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.510355589,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.196131689,1bar
1B,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.402425946,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.182116166,1bar
1C,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.878647395,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.24395731,1bar
250A,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.132138741,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.147017222,250bar
250B,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,1.251829817,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.162560061,250bar
250C,CL 65:1_29.12 | 16:0_16:0_16:0_17:1,0.525324394,CL,1,NA,65,1,29.12,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_17:1,0.068217552,250bar
1A,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.037703592,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.162595559,1bar
1B,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.036598144,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.157828348,1bar
1C,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.032196876,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.138848017,1bar
250A,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.060359692,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.260299282,250bar
250B,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.052396372,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.225957713,250bar
250C,CL 65:2_28.89 | 15:0_16:0_17:1_17:1,0.012631067,CL,1,NA,65,2,28.89,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_17:1_17:1,0.054471081,250bar
1A,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.115554849,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.13305731,1bar
1B,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.114530083,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.131877329,1bar
1C,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.149750485,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.172432372,1bar
250A,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.263330829,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.303216111,250bar
250B,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.128972719,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,0.148507512,250bar
