Sample3_Ex340_Em440,,Sample3_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
104.0041656,505.8632507,104.0144348,449.1253662,
104.5041656,496.8424683,104.5144348,438.076416,
105.0041656,496.769043,105.0144348,442.9922485,
105.5041656,484.5320435,105.5144348,439.9870605,
106.0041656,481.1656494,106.0144348,440.8061829,
106.5041656,478.3834839,106.5144348,442.3093872,
107.0041656,464.9384766,107.0144348,442.6275024,
107.5041656,463.0097351,107.5144348,444.4485779,
108.0041656,457.7914429,108.0144348,450.7712708,
108.5041656,450.7365417,108.5144348,450.1681824,
109.0041656,440.7472534,109.0144348,439.0280151,
109.5041656,444.290863,109.5144348,437.907196,
110.0041656,435.3692322,110.0144348,445.0395813,
110.5041656,417.2886047,110.5145035,446.4761353,
111.0041656,425.868866,111.0144348,440.9844971,
111.5041656,415.2697449,111.5144806,446.9301147,
112.0041656,407.2147522,112.0144348,452.1746521,
112.5041656,412.6047363,112.5144806,450.0363464,
113.0041656,406.2507629,113.0144348,445.399353,
113.5041656,419.2936401,113.5144348,436.9119568,
114.0041656,417.7837524,114.0144348,445.4800415,
114.5041656,425.5792847,114.5144348,443.0626221,
115.0041656,432.8058777,115.0144348,444.6641541,
115.5041656,444.8998108,115.5144806,440.2736511,
116.0041656,438.7287903,116.0144348,441.8668518,
116.5041656,451.4518127,116.5144806,434.4854736,
117.0041656,461.4429932,117.0144348,437.0609131,
117.5041656,466.8467712,117.5144348,445.9970703,
118.0041656,469.7541809,118.0144348,437.0479736,
118.5041656,477.2618103,118.5144348,441.3571777,
119.0041656,469.5541992,119.0144348,439.1676025,
119.5041656,481.5614929,119.5144348,438.2009888,
120.0041656,485.8128967,120.0144348,437.4309998,
120.5041656,502.8221741,120.5144348,439.0454102,
121.0041656,506.226532,121.0144348,442.4196777,
121.5041656,511.6293335,121.5144348,442.1367798,
122.0041656,517.758606,122.0144348,438.1816711,
122.5041656,514.4365234,122.5144348,436.6867371,
123.0041656,514.6035767,123.0144348,442.2819519,
123.5041656,523.0452881,123.5144348,434.9952393,
124.0041656,520.5581055,124.0144806,432.797699,
124.5041656,520.0849609,124.5144348,442.5395203,
125.0041656,525.0296021,125.0144348,444.8077393,
125.5041656,513.4095459,125.5144348,434.9449768,
126.0041656,522.5283203,126.0144348,434.7252197,
126.5041656,516.8581543,126.5144348,433.6167297,
127.0041656,515.8270874,127.0144348,441.8727417,
127.5041656,503.3663635,127.5144348,437.7997131,
128.0041656,500.9727478,128.0144348,436.4658813,
128.5041656,502.1784973,128.5144348,436.7236938,
129.0041656,481.9215088,129.0144348,432.2135315,
129.5041656,474.4406128,129.5144348,431.2516479,
130.0041656,466.7601929,130.0144348,435.6244507,
130.5041656,464.5655823,130.5144348,426.8352051,
131.0041656,460.4593506,131.0144806,423.3622131,
131.5041656,443.5414734,131.5144348,421.8293457,
132.0041656,445.2669678,132.0144348,424.401886,
132.5041656,442.715332,132.5144348,420.7604065,
133.0041656,435.396637,133.0144348,416.7556458,
133.5041656,438.9685974,133.5144348,424.7443237,
134.0041656,436.0163269,134.0144348,419.0298767,
134.5041656,431.0236511,134.5144348,415.8294983,
135.0041656,423.5025635,135.0144806,422.953186,
135.5041656,427.5653687,135.5144348,421.8417053,
136.0041656,433.2963867,136.0144806,421.038147,
136.5041656,426.8277588,136.5144348,416.3288574,
137.0041656,427.0290222,137.0144348,414.7941589,
137.5041656,427.2490234,137.5144348,416.3636169,
138.0041656,430.3821106,138.0144348,411.7647095,
138.5041656,429.7984009,138.5144348,424.2439575,
139.0041656,418.6528625,139.0144348,415.1688843,
139.5041656,419.1996155,139.5144348,418.3130493,
140.0041656,420.0619507,140.0144348,418.4521179,
140.5041656,424.723938,140.5144348,411.4451599,
141.0041656,425.443512,141.0144348,412.7444153,
141.5041656,422.1599121,141.5144348,414.9742737,
142.0041656,422.8180237,142.0144348,416.9484558,
142.5041656,423.4717712,142.5144348,413.3800049,
143.0041656,419.7165222,143.0144348,412.301178,
143.5041656,422.0532837,143.5144348,406.893158,
144.0041656,418.8667297,144.0144348,409.6251831,
144.5041656,430.3696289,144.5144348,412.6477966,
145.0041656,423.1611938,145.0144348,412.9858704,
145.5041656,415.8587646,145.5144348,416.0258484,
146.0041656,428.4660034,146.0144348,411.4279175,
146.5041656,423.1242065,146.5144348,421.6907043,
147.0041656,423.7091064,147.0144806,416.7480469,
147.5041656,422.4661865,147.5144348,417.6521912,
148.0041656,426.8125,148.0144348,415.2028198,
148.5041656,413.0314026,148.5144348,416.3638306,
149.0041656,422.2316284,149.0144348,414.9850769,
149.5041656,418.0355225,149.5144348,413.5865479,
150.0041656,421.8187561,150.0144348,411.1312866,
150.5041656,418.9585266,150.5144348,414.7184143,
