SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
220.5041656,164.7937469,220.5144806,284.1897278,
221.0041656,159.9956665,221.0144806,284.4938965,
221.5041656,159.173233,221.5144806,282.4997559,
222.0041656,161.345932,222.0144806,280.0284729,
222.5041656,156.9574432,222.5144806,273.0257568,
223.0041656,160.3613739,223.0144806,282.460968,
223.5041656,158.6483002,223.5144806,272.2334595,
224.0041656,159.4107208,224.0144806,274.6687317,
224.5041656,157.5671539,224.5144806,271.2197876,
225.0041656,155.4396667,225.0144806,273.2553711,
225.5041656,156.2431641,225.5144806,275.6703491,
226.0041656,155.7371063,226.0144806,268.8544617,
226.5041656,153.8888397,226.5144806,274.7443542,
227.0041656,156.5177612,227.0144806,273.1085205,
227.5041656,150.0391235,227.5144806,274.3132935,
228.0041656,153.4862976,228.0144806,264.8585205,
228.5041656,154.3251801,228.5144806,274.2742004,
229.0041656,150.7276459,229.0144806,264.9902954,
229.5041656,154.923111,229.5144806,260.4620056,
230.0041656,149.7977295,230.0144806,263.2650757,
230.5041656,144.4143372,230.5144806,262.9208374,
231.0041656,143.2078705,231.0144806,259.8694153,
231.5041656,142.0602875,231.5144806,257.1290588,
232.0041656,140.3521423,232.0144806,265.0332642,
232.5041656,136.1969147,232.5144806,253.5274048,
233.0041656,135.6178131,233.0144806,258.1811829,
233.5041656,133.1374969,233.5144806,253.5876312,
234.0041656,136.0933228,234.0144806,252.2158356,
234.5041656,127.9066925,234.5144806,245.6306152,
235.0041656,131.4705963,235.0144806,244.1330109,
235.5041656,128.0431824,235.5144806,248.6659851,
236.0041656,124.5989838,236.0144806,245.4536438,
236.5041656,124.0137329,236.5144806,238.0940552,
237.0041656,121.4177322,237.0144806,243.644455,
237.5041656,121.1582718,237.5144806,239.4392242,
238.0041656,122.8638916,238.0144806,240.7949524,
238.5041656,123.2151337,238.5145416,239.6348572,
239.0041656,122.9276352,239.0144806,234.841156,
239.5041656,122.5965042,239.5144806,238.5783691,
240.0041656,119.1440887,240.0144806,233.8046417,
240.5041656,119.7878571,240.5144806,239.0456696,
241.0041656,117.5427933,241.0144806,233.7899628,
241.5041656,120.0506668,241.5144806,231.4548798,
242.0041656,118.2178726,242.0144806,237.2279816,
242.5041656,118.6082916,242.5144806,237.437912,
243.0041656,117.6805115,243.0144806,234.7900696,
243.5041656,117.0655441,243.5144806,239.2783813,
244.0041656,120.8522263,244.0144806,237.6773529,
244.5041656,118.945816,244.5144806,235.538208,
245.0041656,122.4215775,245.0144806,236.4876404,
245.5041656,118.1674118,245.5144806,234.4172058,
246.0041656,119.2303009,246.0144806,236.6908417,
246.5041656,120.8600464,246.5144806,233.4321899,
247.0041656,120.1589279,247.0144806,233.0992584,
247.5041656,116.6235428,247.5144806,233.9815063,
248.0041656,117.2841797,248.0144806,235.4841461,
248.5041656,118.6420135,248.5144806,230.0131226,
249.0041656,121.4427032,249.0144806,233.9070435,
249.5041656,117.9455109,249.5144806,230.3821869,
250.0041656,115.0768051,250.0144806,229.2128754,
250.5041656,116.7860413,250.5144806,227.9215546,
251.0041656,118.7823181,251.0144806,234.1222992,
251.5041656,117.4050903,251.5144806,231.0797119,
252.0041656,116.2524109,252.0144806,232.9576721,
252.5041656,115.5082169,252.5144806,230.6476593,
253.0041656,117.0036621,253.0144806,230.8297577,
253.5041656,115.7141113,253.5144806,234.4632721,
254.0041656,117.0194702,254.0144806,228.0375214,
254.5041656,116.2908783,254.5144806,231.5158234,
255.0041656,117.4774628,255.0145416,233.1821442,
255.5041656,120.625412,255.5144806,233.2320709,
256.0041809,118.7636337,256.0144958,231.6768494,
256.5041809,120.3874741,256.5144958,237.0715179,
257.0041809,117.6778488,257.0144958,234.3955536,
257.5041809,122.1693115,257.5145264,239.7162781,
258.0041809,124.0523148,258.0144958,241.2347565,
258.5041809,124.3556366,258.5144958,245.9201965,
259.0041809,122.9466629,259.0144958,244.1772614,
259.5041809,125.1977539,259.5144958,247.6345673,
260.0041809,127.0599976,260.0144958,246.0029144,
260.5041809,127.2540665,260.5144958,255.1027832,
261.0041809,125.2876358,261.0144958,244.2931976,
261.5041809,132.9304352,261.5144958,254.8510132,
262.0041809,129.2505341,262.0144958,250.6332092,
262.5041809,129.4731903,262.5144958,252.3065186,
263.0041809,129.3923645,263.0144958,252.1595306,
263.5041809,135.7309418,263.5144958,259.6663208,
264.0041809,128.3199615,264.0144958,255.7964935,
264.5041809,129.7328033,264.5144958,256.670105,
265.0041809,131.8963623,265.0144958,258.2216797,
265.5041809,129.6724091,265.5144958,260.2370605,
266.0041809,129.1764374,266.0144958,256.8317871,
266.5041809,129.1311798,266.5144958,251.7062683,
267.0041809,133.6353302,267.0144958,254.0695038,
267.5041809,125.7772141,267.5144958,249.2064819,
268.0041809,131.2525787,268.0144958,256.5999756,
268.5041809,123.5959091,268.5144958,251.1940308,
269.0041809,127.3520584,269.0144958,245.8406067,
269.5041809,123.6920776,269.5145264,241.2155762,
270.0041809,126.1998978,270.0144958,243.8696289,
270.5041809,130.0858307,270.5144958,241.2384796,
271.0041809,127.6372986,271.0144958,240.1524353,
271.5041809,121.9618607,271.5144958,239.7846069,
272.0041809,121.6047516,272.0144958,234.5371246,
272.5041809,119.2208557,272.5144958,236.8595581,
273.0041809,119.6099319,273.0145264,238.4323578,
273.5041809,117.8539658,273.5144958,229.2861023,
274.0041809,118.2183304,274.0144958,230.80896,
274.5041809,119.6057129,274.5144958,226.0901489,
