time (s),POPE A,POPE B,POPE C,SoyPI A,SoyPI B,SoyPI C,xPE A,xPE B,xPE C,POPG A,POPG B,POPG C
5.55,0.054464612,0.055920527,0.046027392,0.028301168,0.035752995,0.034146104,-0.002655431,0.00464925,0.00631587,0.030435619,-0.00812061,-0.001113507
5.65,0.066478292,0.061879176,0.061029876,0.0343737,0.025474479,0.029925574,-0.004204263,0.000936884,-0.00895998,0.026167689,-6.0061E-05,-0.009186024
5.75,0.045282039,0.056197632,0.078575509,0.021433876,0.025707377,0.028201198,-0.00133619,-0.003539492,-0.006366314,0.021044754,0.010704693,-0.007864843
5.85,0.055094007,0.06094848,0.04217776,0.031069445,0.033105818,0.028406948,0.011872107,0.011133783,0.002313421,0.020402401,0.002272933,0.000443912
5.95,0.067903558,0.068432633,0.067999768,0.028788197,0.020290501,0.037064925,-0.003600813,0.005592597,-0.002656259,0.011796165,-0.004570121,-0.00886285
6.05,0.050554697,0.087177926,0.061457441,0.043962126,0.023570996,0.035336071,0.010949898,7.21091E-05,0.006398843,0.009537306,-0.005892896,-0.0018174
6.15,0.050476291,0.084127152,0.060633765,0.052814449,0.026912871,0.039080872,0.011957511,0.015106121,-0.002297981,0.011210972,0.01358153,-0.026802
6.25,0.064835858,0.078324264,0.071814242,0.018376511,0.024680079,0.053855473,0.005722326,-0.000520588,-0.003384081,0.009012237,0.013290213,-0.01503963
6.35,0.052401969,0.064823887,0.061547001,0.027317552,0.039952577,0.041298324,-0.000278613,0.003377434,0.006437257,0.017093163,-0.00283588,-0.010995689
6.45,0.06534609,0.07272785,0.083184822,0.026039506,0.035734084,0.049560189,0.008259129,0.007081749,0.000601964,0.022708894,0.008495897,-0.012392771
6.55,0.042221901,0.062585648,0.052427643,0.018473079,0.027357627,0.047954004,0.006005208,0.003577987,-0.004333141,0.019586008,0.002630298,-0.018690755
6.65,0.065618845,0.081883281,0.076648614,0.03708389,0.022458488,0.037116823,3.31687E-05,-0.000819087,-0.000570744,0.025609446,0.001947083,-0.01005583
6.75,0.066673123,0.069989102,0.068928653,0.03253255,0.033577638,0.051920379,0.00157018,0.015335298,0.005461476,0.022280199,0.001319006,-0.005475508
6.85,0.074923826,0.081918524,0.055098534,0.046348952,0.024679426,0.040408283,0.0066867,0.001533937,-0.001419404,0.018013284,0.009550233,-0.00097027
6.95,0.075286899,0.067321323,0.052261302,0.028901708,0.031544584,0.03881599,0.000897084,0.006487157,-0.001345693,0.02078866,0.004264384,-0.013955628
7.05,0.071721154,0.091345683,0.092066524,0.036775342,0.034373381,0.039914758,0.004934566,0.006037274,0.000695955,0.006805756,0.001513491,-0.00101367
7.15,0.059203471,0.086667141,0.075346144,0.032658186,0.031698479,0.05021919,2.78521E-06,0.001209851,0.00592571,0.017199981,0.003895125,-0.005614083
7.25,0.062960355,0.07514293,0.072876262,0.045205897,0.027206269,0.040713735,0.002621934,0.003185373,0.001098199,0.015452447,0.014896324,-0.010911334
7.35,0.076124183,0.08501125,0.07511066,0.02658575,0.022234096,0.050937002,0.001445367,0.002756951,-0.005706755,0.008171907,0.010775415,-0.000234106
7.45,0.085363953,0.082550653,0.07840724,0.035562483,0.04234144,0.040595325,-0.000176266,0.003685537,-0.005412449,0.008236648,-0.003412231,-0.001439141
7.55,0.06974899,0.060477746,0.074071696,0.048828761,0.033049894,0.043631377,0.007167681,-0.000271951,0.003466112,0.00731232,0.008822794,-0.003967296
7.65,0.066735299,0.105527077,0.071954261,0.036601459,0.045883525,0.049394529,-0.001342287,-0.002030421,-0.000313816,0.004898488,0.0024472,-0.005070557
7.75,0.078843041,0.093878488,0.083590212,0.041096157,0.032242071,0.045855267,0.000593281,0.00568111,0.007281048,0.02079203,-0.005179191,-0.008508722
7.85,0.076327129,0.086779221,0.074217081,0.043749593,0.030057192,0.03795972,0.00788385,0.006949696,-0.00118386,0.011549309,0.016002513,-0.002177736
7.95,0.078951817,0.100045989,0.069294814,0.042440535,0.023254908,0.037921521,0.018791074,-5.85E-05,0.003811661,0.003540835,0.004763831,-0.011643908
8.05,0.081961479,0.106440132,0.079080359,0.038670804,0.039982975,0.046196008,0.000572565,0.012553652,-0.002992236,0.018987693,-0.009439487,-0.010667737
