feature,class,WT-W303-1bar-A,WT-W303-1bar-B,WT-W303-1bar-C,WT-W303-250bar-A,WT-W303-250bar-B,WT-W303-250bar-C
LPI 16:1;0,LPI,5.538839817,2.439480066,3.925110102,7.039989948,4.091179848,5.085140228
LPI 18:0;0,LPI,33.09479904,30.29770088,20.28039932,132.3560028,88.41670227,109.5550003
LPI 18:1;0,LPI,6.708960056,6.900690079,8.514840126,20.02160072,12.77620029,19.82449913
LPI 20:0;0,LPI,,,,,,
LPI 20:1;0,LPI,,,,,,
LPS 14:0;0,LPS,,,,,,
LPS 15:0;0,LPS,,,,,,
LPS 16:0;0,LPS,19.70829964,10.58230019,11.25179958,27.68659973,12.18290043,15.37889957
LPS 16:1;0,LPS,4.055709839,0.533303022,,6.66892004,3.182770014,4.825550079
LPS 18:0;0,LPS,,1.181300044,,,,
LPS 18:1;0,LPS,6.208469868,2.20994997,6.112130165,21.2928009,8.960949898,17.41760063
PA 10:0;0_16:0;0,PA,15.88799953,,,,,
PA 10:0;0_18:0;0,PA,1.726070046,1.334439993,,,,
PA 12:0;0_16:0;0,PA,17.40880013,12.96809959,7.09717989,0.867029011,,1.045029998
PA 12:0;0_16:1;0,PA,,,,,,
PA 12:0;0_18:0;0,PA,0.976199985,,,,,
PA 12:0;0_18:1;0,PA,1.815899968,1.024610043,0.801174998,,,
PA 14:0;0_14:0;0,PA,0.459113985,0.373587012,0.270837009,,,
PA 14:0;0_16:0;0,PA,4.797019958,3.710180044,1.579890013,,,
PA 14:0;0_16:1;0,PA,2.170540094,1.229529977,0.805963993,,,
PA 14:0;0_17:1;0,PA,,,,,,
PA 14:0;0_18:0;0,PA,,0.673367023,0.341174006,,,
PA 14:0;0_18:1;0,PA,12.22459984,7.925370216,4.4292202,,1.666970015,2.789989948
PA 14:1;0_16:0;0,PA,2.076220036,1.109249949,,,,
PA 14:1;0_18:0;0,PA,1.842229962,,,,,
PA 14:1;0_18:1;0,PA,,2.988500118,,,,
PA 15:0;0_16:1;0,PA,1.093250036,0.500580013,,,,
PA 15:0;0_17:1;0,PA,,,,,,
PA 15:0;0_18:1;0,PA,,,,,,
PA 16:0;0_16:0;0,PA,4.194479942,2.568779945,1.308050036,,0.874373019,
PA 16:0;0_16:1;0,PA,47.95510101,31.52890015,15.71640015,6.460780144,6.053850174,6.333950043
PA 16:0;0_17:1;0,PA,,,,,,
PA 16:0;0_18:0;0,PA,,3.467979908,,1.367409945,1.042479992,1.832929969
PA 16:0;0_18:1;0,PA,125.8809967,79.06400299,41.32580185,16.85059929,20.6413002,22.33279991
PA 16:0;0_19:1;0,PA,,,,,,
PA 16:1;0_16:1;0,PA,9.916939735,4.546350002,3.222660065,2.024980068,1.751330018,2.706629992
PA 16:1;0_17:0;0,PA,,,,,,
PA 16:1;0_18:0;0,PA,10.53460026,6.200160027,3.938549995,2.160459995,1.569970012,2.826230049
PA 16:1;0_18:1;0,PA,40.11259842,27.46929932,13.09070015,5.888120174,6.732130051,7.85187006
PA 16:1;0_19:1;0,PA,,,,,,
PA 16:1;0_20:1;0,PA,,,,,,
PA 17:0;0_17:0;0,PA,,,,,,
PA 17:0;0_17:1;0,PA,,,,,,
PA 17:0;0_19:1;0,PA,,,,,,
PA 17:1;0_17:1;0,PA,,,,,,
PA 17:1;0_18:0;0,PA,,,,,,
PA 17:1;0_18:1;0,PA,,,,,,
PA 17:1;0_19:1;0,PA,,,,,,
PA 18:0;0_18:0;0,PA,3.745369911,1.889320016,2.640170097,0.93197,,1.156569958
PA 18:0;0_18:1;0,PA,9.793950081,6.144879818,4.106679916,1.028699994,1.271980047,1.490180016
PA 18:0;0_19:1;0,PA,,,,,,
PA 18:1;0_18:1;0,PA,7.25812006,4.442289829,2.651809931,,0.707319021,
PA 19:1;0_19:1;0,PA,,,,,,
PC 10:0;0_16:0;0,PC,,3.058370113,,,,
PC 10:0;0_16:1;0,PC,,,,,,
PC 10:0;0_18:0;0,PC,,,,,,
PC 10:0;0_18:1;0,PC,,,,,,
PC 10:1;0_16:0;0,PC,,,,,,
PC 10:1;0_16:1;0,PC,,,,,,
PC 12:0;0_12:0;0,PC,,,,,,
PC 12:0;0_14:0;0,PC,3.595180035,2.647969961,2.662719965,,,
PC 12:0;0_14:1;0,PC,,,,,,
PC 12:0;0_16:0;0,PC,27.1637001,31.82550049,16.77160072,0.954849005,1.167840004,1.348119974
PC 12:0;0_16:1;0,PC,10.97290039,9.777779579,5.239369869,0.951134026,1.150900006,1.339949965
PC 12:0;0_18:0;0,PC,3.662990093,2.291160107,2.17118001,,,
PC 12:0;0_18:1;0,PC,13.50529957,6.211780071,4.179150105,,,1.550869942
PC 12:1;0_16:0;0,PC,,,,,,
PC 12:1;0_16:1;0,PC,,,,,,
PC 12:1;0_18:0;0,PC,,,,,,
PC 13:0;0_16:0;0,PC,,,,,,
PC 14:0;0_14:0;0,PC,2.408669949,2.566359997,1.240869999,,,
PC 14:0;0_14:1;0,PC,,,,,,
PC 14:0;0_15:0;0,PC,,,,,,
PC 14:0;0_15:1;0,PC,,,,,,
PC 14:0;0_16:0;0,PC,16.99570084,14.1104002,8.595170021,,1.377210021,
PC 14:0;0_16:1;0,PC,27.61700058,19.7852993,12.54080009,1.790279984,2.74951005,1.498870015
PC 14:0;0_17:1;0,PC,,1.13496995,,,,
PC 14:0;0_18:0;0,PC,,,,,,
PC 14:0;0_18:1;0,PC,73.51529694,47.86090088,21.53980064,3.661050081,4.739449978,4.664490223
PC 14:0;0_18:2;0,PC,,,,,,
PC 14:0;0_19:1;0,PC,,,,,,
PC 14:0;0_20:1;0,PC,,0.649132013,,,,
PC 14:1;0_14:1;0,PC,,,,,,
PC 14:1;0_15:0;0,PC,,,,,,
PC 14:1;0_16:0;0,PC,13.94820023,12.29800034,4.883150101,1.404610038,1.962849975,1.143589973
PC 14:1;0_16:1;0,PC,3.578949928,2.917059898,1.741459966,0.444196999,0.867717028,0.55923003
PC 14:1;0_17:1;0,PC,,,,,,
PC 14:1;0_18:0;0,PC,16.7798996,23.30080032,4.102980137,0.917326987,1.547330022,1.555600047
PC 14:1;0_18:1;0,PC,23.76390076,17.39599991,7.964379787,3.947419882,4.284029961,5.214119911
PC 14:1;0_18:2;0,PC,,,,,,
PC 14:1;0_19:1;0,PC,,,,,,
PC 15:0;0_15:0;0,PC,,,,,,
PC 15:0;0_16:1;0,PC,6.916039944,4.419670105,3.010349989,,1.303140044,
PC 15:0;0_17:1;0,PC,,,,,,
PC 15:0;0_18:1;0,PC,2.737210035,1.370300055,,0.364102989,0.43444699,0.375409991
PC 15:0;0_18:2;0,PC,,,,,,
PC 15:0;0_19:1;0,PC,,,,,,
PC 15:1;0_16:0;0,PC,32.48920059,26.50320053,11.07649994,,9.946880341,
PC 15:1;0_16:1;0,PC,,,,,0.496603012,
PC 15:1;0_18:0;0,PC,0.950767994,0.435586005,0.32772401,,,0.154531002
PC 15:1;0_18:1;0,PC,,0.847482979,0.439644009,,,
PC 16:0;0_16:0;0,PC,,,,,,
PC 16:0;0_16:1;0,PC,691.9039917,261.1860046,166.9299927,22.91570091,33.03490067,30.41550064
PC 16:0;0_16:2;0,PC,,4.284999847,,,,
PC 16:0;0_17:1;0,PC,2.78869009,1.227190018,1.135329962,,0.288296998,0.51581198
PC 16:0;0_18:1;0,PC,492.2669983,191.901001,110.137001,10.88519955,24.20499992,15.28800011
PC 16:0;0_18:2;0,PC,6.420770168,,,,,
PC 16:0;0_18:3;0,PC,,,,,,
PC 16:0;0_19:1;0,PC,,,,,,
PC 16:0;0_19:2;0,PC,,,,,,
PC 16:0;0_20:1;0,PC,1.510259986,0.699423015,,,,
PC 16:1;0_16:1;0,PC,350.3599854,117.1740036,73.19799805,38.34600067,51.34960175,40.07490158
PC 16:1;0_16:2;0,PC,,,,,,
PC 16:1;0_17:0;0,PC,2.757970095,1.419589996,1.099149942,0.623604,0.44936499,
PC 16:1;0_17:1;0,PC,4.301529884,0.819885015,0.534814,0.763278008,0.806191027,0.692740977
PC 16:1;0_18:0;0,PC,338.6400146,135.5449982,86.09719849,22.35969925,27.69499969,31.57390022
PC 16:1;0_18:1;0,PC,859.5960083,292.3330078,177.2259979,79.82189941,132.3809967,91.7457962
PC 16:1;0_18:2;0,PC,,,,,,
PC 16:1;0_19:1;0,PC,,,,,,
PC 16:1;0_20:0;0,PC,9.472780228,3.308259964,,,,
PC 16:1;0_20:1;0,PC,6.694169998,3.169179916,1.857849956,,0.633287013,
PC 16:1;0_22:0;0,PC,,,,,,
PC 16:1;0_24:0;0,PC,,,,,,
PC 16:1;0_26:0;0,PC,11.53129959,2.750629902,1.316720009,,,
PC 16:2;0_18:1;0,PC,,,,,,
PC 17:0;0_17:1;0,PC,,,,,,
PC 17:0;0_18:2;0,PC,,,,,,
PC 17:1;0_17:1;0,PC,,0.221438006,0.27076301,0.217498004,0.306481004,0.281152993
PC 17:1;0_18:0;0,PC,,,,,,
PC 17:1;0_18:1;0,PC,,,,,0.440133989,
PC 17:1;0_19:1;0,PC,,,,,,
PC 18:0;0_18:1;0,PC,137.6430054,54.21220016,34.79489899,5.402070045,6.384260178,6.97631979
PC 18:0;0_18:2;0,PC,2.097429991,0.704680026,,,,
PC 18:0;0_20:1;0,PC,,,,,,
PC 18:0;0_22:1;0,PC,,,,,,
PC 18:1;0_18:1;0,PC,115.2170029,38.09690094,22.28540039,6.836289883,8.350910187,8.733590126
PC 18:1;0_18:2;0,PC,,,,,,
PC 18:1;0_19:1;0,PC,,,,,,
PC 18:1;0_20:1;0,PC,4.484059811,1.921360016,,,,
PC 18:1;0_26:0;0,PC,,1.653069973,,,,
PC 19:1;0_19:1;0,PC,,,,,,
PE 10:0;0_16:0;0,PE,,0.589649022,,,,
PE 10:0;0_16:1;0,PE,,,,,,
PE 10:0;0_18:0;0,PE,,,,,,
PE 10:0;0_18:1;0,PE,,0.343787998,,,,
PE 12:0;0_14:0;0,PE,0.94660902,0.500374973,0.699111998,,,
PE 12:0;0_16:0;0,PE,3.985929966,4.423399925,2.936569929,,,
PE 12:0;0_16:1;0,PE,3.094660044,1.891450047,1.34355998,,,
PE 12:0;0_18:0;0,PE,,0.553794026,0.318666995,,,
PE 12:0;0_18:1;0,PE,1.120650053,0.873309016,0.485193998,,0.139320999,0.163461
PE 12:1;0_16:0;0,PE,,,,,,
PE 14:0;0_14:0;0,PE,0.324402988,0.29045099,0.212570995,,,
PE 14:0;0_16:0;0,PE,2.095920086,1.411139965,1.03302002,,,
PE 14:0;0_16:1;0,PE,5.458570004,4.082670212,2.812779903,0.667448997,0.394957989,0.336382985
PE 14:0;0_17:1;0,PE,,0.104800999,,,,
PE 14:0;0_18:0;0,PE,,,,,,0.102880001
PE 14:0;0_18:1;0,PE,18.7682991,12.48330021,9.160470009,1.600769997,1.558220029,1.871269941
PE 14:0;0_19:1;0,PE,,,,,,
PE 14:1;0_16:0;0,PE,1.058920026,0.651274025,0.469646007,,,
PE 14:1;0_16:1;0,PE,,,,,,
PE 14:1;0_18:0;0,PE,0.306676,0.190200001,0.172562003,0.172603995,,
PE 14:1;0_18:1;0,PE,1.715450048,0.807784021,,0.371363014,,0.454757005
PE 15:0;0_16:1;0,PE,1.02670002,0.670763016,,,0.227666005,0.380930007
PE 15:0;0_17:1;0,PE,,,,,,
PE 15:0;0_18:1;0,PE,1.918740034,1.366659999,0.938369989,0.74602598,0.829432011,0.846475005
PE 15:0;0_19:1;0,PE,,,,,,
PE 15:1;0_15:1;0,PE,,,,,,
PE 15:1;0_16:0;0,PE,7.464640141,4.292709827,2.99116993,,,
PE 15:1;0_16:1;0,PE,,,,,,
PE 15:1;0_18:0;0,PE,,,,,,
PE 15:1;0_18:1;0,PE,,0.539548993,,,,
PE 16:0;0_16:0;0,PE,2.499639988,1.76481998,1.388749957,0.555299997,0.771386981,0.610341012
PE 16:0;0_16:1;0,PE,76.79620361,56.13819885,38.70199966,8.510290146,8.871199608,10.43200016
PE 16:0;0_16:2;0,PE,,,,,,
PE 16:0;0_17:1;0,PE,1.324149966,0.997505009,0.771921992,0.30329299,0.374868006,0.426326007
PE 16:0;0_18:0;0,PE,,,,,,
PE 16:0;0_18:1;0,PE,195.298996,134.9759979,96.75489807,36.58810043,36.53590012,44.9034996
PE 16:0;0_18:2;0,PE,1.059129953,0.648181975,,,,
PE 16:0;0_19:1;0,PE,,,,,,
PE 16:0;0_20:1;0,PE,,2.284519911,,,,
PE 16:0;0_26:0;0,PE,,1.019600034,,,,
PE 16:1;0_16:1;0,PE,60.47259903,32.49089813,23.99629974,5.273310184,6.551129818,6.651000023
PE 16:1;0_17:0;0,PE,1.213600039,0.824182987,0.656346977,0.555200994,0.459849,0.457902998
PE 16:1;0_17:1;0,PE,2.022599936,0.525925994,1.113880038,,0.346695006,
PE 16:1;0_18:1;0,PE,267.45401,139.2389984,99.5134964,27.43280029,28.70969963,31.8526001
PE 16:1;0_18:2;0,PE,,,,,,
PE 16:1;0_19:1;0,PE,,,,,,
PE 16:1;0_20:1;0,PE,,2.764270067,,,,
PE 16:1;0_26:0;0,PE,1.183130026,,,,,
PE 16:2;0_18:1;0,PE,,,,,,
PE 17:0;0_17:0;0,PE,,,,,,
PE 17:0;0_17:1;0,PE,,,,,,
PE 17:0;0_18:1;0,PE,,,,,,
PE 17:1;0_17:1;0,PE,,,,,0.032462198,
PE 17:1;0_17:2;0,PE,,,,,,
PE 17:1;0_18:0;0,PE,3.210370064,1.802629948,,,,
PE 17:1;0_18:1;0,PE,4.971839905,2.235049963,1.758090019,0.560921013,0.538920999,0.568625987
PE 17:1;0_19:1;0,PE,,,,,,
PE 18:0;0_18:1;0,PE,19.08530045,10.33609962,8.532239914,2.587189913,2.648999929,2.930160046
PE 18:0;0_18:2;0,PE,,,,,,
PE 18:0;0_19:1;0,PE,,,,,,
PE 18:1;0_18:1;0,PE,45.0257988,19.37420082,15.90480042,4.067850113,4.199389935,4.796559811
PE 18:1;0_19:1;0,PE,,,,,,
PE 18:1;0_20:1;0,PE,1.874989986,,,,,
PE 18:1;0_26:0;0,PE,1.186990023,,,,,
PE 19:1;0_19:1;0,PE,,,,,,
PG 10:0;0_16:0;0,PG,0.518158972,0.363193005,0.282142997,,,
PG 10:0;0_20:1;0,PG,,,,,,
PG 12:0;0_16:0;0,PG,0.604808986,0.635411978,0.366140008,,,
PG 12:0;0_16:1;0,PG,,,,,,
PG 12:0;0_17:0;0,PG,,,,,,
PG 12:0;0_18:0;0,PG,,,,,,
PG 12:0;0_18:1;0,PG,,,0.233844995,,0.100502998,
PG 12:1;0_16:0;0,PG,,,,,,
PG 13:0;0_16:0;0,PG,,,,,,
PG 13:0;0_18:0;0,PG,,,,,,
PG 13:0;0_18:1;0,PG,,,,,,
PG 13:0;0_20:0;0,PG,,,,,,
PG 13:0;0_20:1;0,PG,,,,,,
PG 13:1;0_17:0;0,PG,,,,,,
PG 14:0;0_14:0;0,PG,,,,,,
PG 14:0;0_14:1;0,PG,,,,,,
PG 14:0;0_15:0;0,PG,,,,,,
PG 14:0;0_16:0;0,PG,,,,,,
PG 14:0;0_16:1;0,PG,,0.251626015,0.221074,,0.0768179,
PG 14:0;0_17:1;0,PG,,,,,,
PG 14:0;0_18:0;0,PG,,,,,,
PG 14:0;0_18:1;0,PG,,0.653437972,,0.227556005,,
PG 14:0;0_19:1;0,PG,,,,,,
PG 14:0;0_20:0;0,PG,,,,,,
PG 14:1;0_15:0;0,PG,,,,,,
PG 14:1;0_16:0;0,PG,,0.281042993,,,0.104994997,0.305790991
PG 14:1;0_16:1;0,PG,,,,,,
PG 14:1;0_18:0;0,PG,,,,0.683453977,,
PG 14:1;0_18:1;0,PG,0.39281401,0.350331008,0.263514012,0.200289994,0.274650991,0.225690007
PG 14:1;0_19:1;0,PG,,,,,,
PG 15:0;0_15:0;0,PG,,,,,,
PG 15:0;0_16:0;0,PG,,,,,,
PG 15:0;0_16:1;0,PG,,,,,,
PG 15:0;0_17:0;0,PG,,,,,,
PG 15:0;0_17:1;0,PG,,,,,,
PG 15:0;0_18:0;0,PG,,,,,,
PG 15:0;0_18:1;0,PG,,,,,,
PG 15:0;0_19:0;0,PG,,,,,,
PG 15:0;0_19:1;0,PG,,,,,,
PG 15:0;0_20:0;0,PG,,,,,,
PG 15:0;0_20:1;0,PG,,,,,,
PG 15:1;0_16:0;0,PG,,,,,,
PG 16:0;0_16:0;0,PG,,,,,,
PG 16:0;0_16:1;0,PG,4.561920166,2.709899902,2.711669922,0.559451997,1.582290053,1.708230019
PG 16:0;0_16:2;0,PG,,,,,,
PG 16:0;0_17:1;0,PG,,,,,,
PG 16:0;0_17:2;0,PG,,,,,,
PG 16:0;0_18:0;0,PG,,,,,,
PG 16:0;0_18:1;0,PG,7.869780064,4.654850006,3.336030006,3.76067996,3.694649935,3.917890072
PG 16:0;0_18:2;0,PG,,,,,,
PG 16:0;0_19:1;0,PG,,,,,,
PG 16:0;0_20:1;0,PG,,,,,,
PG 16:1;0_16:1;0,PG,0.044084001,0.036617499,0.026992399,0.020374101,0.0240236,0.0208546
PG 16:1;0_17:0;0,PG,,,,0.222685993,,
PG 16:1;0_17:1;0,PG,,,,,,
PG 16:1;0_18:0;0,PG,,0.655936003,0.473800004,,0.339931995,0.408820003
PG 16:1;0_18:1;0,PG,0.779869974,0.495312989,0.419102013,0.497004002,0.551455021,0.577436984
PG 16:1;0_19:1;0,PG,,,,,,
PG 16:1;0_20:1;0,PG,,,,,,
PG 16:2;0_16:2;0,PG,,,,,,
PG 17:0;0_17:1;0,PG,0.107341997,0.0520995,,,,
PG 17:0;0_18:0;0,PG,,,,,,
PG 17:0;0_18:1;0,PG,,,,,,
PG 17:1;0_17:1;0,PG,,,,0.021156101,,
PG 17:1;0_18:0;0,PG,,,,,,
PG 17:1;0_18:1;0,PG,,,,,,
PG 17:1;0_19:1;0,PG,,,,,,
PG 18:0;0_18:1;0,PG,,,,,,
PG 18:0;0_19:1;0,PG,,,,,,
PG 18:1;0_18:1;0,PG,,,,,,
PG 18:1;0_19:1;0,PG,,,,,,
PG 18:1;0_20:1;0,PG,,,,,,
