class_lmaps,class,linksn1,linksn2,carbsn1,dbonsn1,carbsn2,dbonsn2,host,relax,buff,c0,tol,tslope,slopetol,npln,est,temp,press,ref,remarks
PE,PE,S,S,18,0,18,1,DOPE,TS,H2O,-0.0243,0.0003,-2.70E-04,7.00E-05,TRUE,FALSE,35,1731,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,0,18,1,DOPE,TS,H2O,-0.0226,0.0002,-2.70E-04,7.00E-05,TRUE,FALSE,35,2563.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0385,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,0,https://doi.org/10.1126/science.adm7607,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0380,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,232.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0377,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,399,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0372,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,565.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0367,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,732,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0363,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,898.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0359,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,1065,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0355,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,1231.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0352,0.0001,-2.70E-04,7.00E-05,TRUE,FALSE,35,1398,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0347,0.0001,-2.70E-04,7.00E-05,TRUE,FALSE,35,1564.5,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0343,0.0001,-2.70E-04,7.00E-05,TRUE,FALSE,35,1731,,Pressure is corrected for miscalibration of HUB 880.
PE,PE,S,S,18,1,18,1,,TS,H2O,-0.0325,0.0000,-2.70E-04,7.00E-05,TRUE,FALSE,35,2563.5,,Pressure is corrected for miscalibration of HUB 880.
PC,OO-PC,O,O,16,0,18,1,,TS,H2O,-0.0076,,-1.80E-04,,TRUE,TRUE,35,0,Fill-in estimate for reanalysis of Ding et al. 2024,PE - OOPE difference applied to POPC. T slope from PC.
CL,CL,S,S,18,1,18,1,DOPE,TD,10 mM HEPES,2.27E-04,0.0066,2.10E-05,,FALSE,FALSE,20,0,https://doi.org/10.1039/c5sm00577a,
