Sample6_Ex340_Em440,,Sample6_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
74.00416565,417.3118286,74.01448059,273.8726807,
74.50416565,420.1541748,74.51443481,268.7759399,
75.00416565,415.1958313,75.01443481,268.9179993,
75.50416565,410.1565552,75.5144577,265.3125,
76.00416565,405.0575562,76.01443481,277.9130249,
76.50416565,407.3614807,76.5144577,281.5473022,
77.00416565,399.6080322,77.01443481,278.6815796,
77.50416565,386.3177185,77.51443481,285.2088928,
78.00416565,370.47052,78.01443481,291.7087402,
78.50416565,351.428772,78.51448059,306.837677,
79.00416565,332.7533569,79.01443481,316.2739563,
79.50416565,320.4768982,79.51443481,330.3139343,
80.00416565,304.4438477,80.01443481,344.1769714,
80.50416565,295.5420837,80.51443481,341.8792725,
81.00416565,288.1362,81.01443481,342.4350281,
81.50416565,285.2575684,81.51448059,341.9017029,
82.00416565,283.5241089,82.01443481,343.1253357,
82.50416565,277.0030823,82.51448059,340.6026917,
83.00416565,273.0565186,83.01443481,340.3925171,
83.50416565,273.7286987,83.51443481,339.5539246,
84.00416565,269.2402344,84.01443481,341.1245117,
84.50416565,273.6027222,84.51443481,339.5096436,
85.00416565,263.2520142,85.01443481,332.4057922,
85.50416565,261.8711853,85.51450348,338.5521545,
86.00416565,263.5643005,86.01443481,335.4049072,
86.50416565,267.5423889,86.51443481,339.615387,
87.00416565,260.0141907,87.01443481,343.8638916,
87.50416565,265.4354858,87.51443481,342.4069824,
88.00416565,262.6348877,88.01443481,338.8671265,
88.50416565,263.8251343,88.51443481,338.0440979,
89.00416565,257.9367065,89.01448059,338.8770142,
89.50416565,259.102478,89.51443481,339.3904419,
90.00416565,261.5545654,90.01448059,334.5544739,
90.50416565,257.9263,90.51443481,334.3205261,
91.00416565,261.7021484,91.01443481,334.9402771,
91.50416565,258.6462402,91.51443481,332.9601135,
92.00416565,259.9734497,92.01443481,342.3614807,
92.50416565,258.2896729,92.51443481,338.6125793,
93.00416565,258.0101318,93.01443481,336.8197937,
93.50416565,257.7236023,93.51443481,337.5804138,
94.00416565,258.9867249,94.01448059,335.2484436,
94.50416565,260.6398621,94.51448059,341.6764832,
95.00416565,256.8599243,95.01443481,339.4788513,
95.50416565,263.9080811,95.51448059,331.6622009,
96.00416565,259.7662354,96.01443481,339.3287659,
96.50416565,256.6596069,96.51443481,337.6386414,
97.00416565,259.8863831,97.01448059,333.9124451,
97.50416565,264.3001099,97.51443481,335.7637329,
98.00416565,254.7549591,98.01443481,335.6950073,
98.50416565,258.597168,98.51443481,334.5724487,
99.00416565,258.323822,99.01443481,333.9214783,
99.50416565,260.488678,99.51443481,335.0830383,
100.0041656,259.1829529,100.0144348,331.0210571,
100.5041656,256.1121826,100.5144348,335.828949,
101.0041656,257.8667603,101.0144348,332.913208,
101.5041656,256.9078674,101.5144348,334.625061,
102.0041656,259.0912476,102.0144348,337.6628113,
102.5041656,250.4814301,102.5144348,336.0254517,
103.0041656,252.0588989,103.0144348,336.7437744,
103.5041656,241.4842072,103.5144348,338.9978943,
104.0041656,246.9856415,104.0144348,338.7060242,
104.5041656,238.374527,104.5144348,332.9546204,
105.0041656,233.6335907,105.0144348,338.4964294,
105.5041656,229.9098511,105.5144348,335.5915222,
106.0041656,226.0107727,106.0144348,330.6515198,
106.5041656,218.4887238,106.5144348,336.2463379,
107.0041656,213.7812195,107.0144806,332.1565552,
107.5041656,209.0795135,107.5144348,333.0213928,
108.0041656,211.3371735,108.0144348,333.7703857,
108.5041656,202.7080383,108.5144348,326.2355347,
109.0041656,203.5597382,109.0144806,326.3202515,
109.5041656,196.9940033,109.5144348,327.6806946,
110.0041656,193.5400696,110.0144348,321.0960999,
110.5041656,185.4550781,110.5144348,323.7637939,
111.0041656,186.0918884,111.0144806,325.8570557,
111.5041656,180.79776,111.5144348,320.1612854,
112.0041656,176.9441986,112.0144348,319.5707703,
112.5041656,175.1983643,112.5144348,316.7097473,
113.0041656,179.1752625,113.0144348,320.2528687,
113.5041656,182.342926,113.5144348,322.335144,
114.0041656,185.9122162,114.0144348,325.9815674,
114.5041656,192.9168091,114.5144348,326.3326721,
115.0041656,197.2482758,115.0144348,322.796051,
115.5041656,199.0057831,115.5144348,326.1729431,
116.0041656,199.5261688,116.0144348,330.3790283,
116.5041656,203.7112427,116.5144348,324.1563721,
117.0041656,206.2718201,117.0144348,330.3452454,
117.5041656,211.70047,117.5144348,329.2698364,
118.0041656,214.0335999,118.0144348,333.8990784,
118.5041656,221.0399628,118.5144348,332.0903625,
119.0041656,223.8658295,119.0144348,332.2442322,
119.5041656,226.9555969,119.5144348,332.6174011,
120.0041656,230.2516327,120.0144348,333.5423584,
120.5041656,236.008194,120.5144348,337.1208801,
121.0041656,238.6478119,121.0144348,337.7901306,
121.5041656,241.6008301,121.5144348,338.3594055,
122.0041656,243.747757,122.0144348,336.1133728,
122.5041656,248.0209808,122.5144348,332.5148926,
