clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 200035	1000.0	1000	1	1.0	4.8	0	60	49.07006859779358
20250514 200036	1000.1	1000	1	1.0	4.8	0	60	50.070070028305054
20250514 200037	1000.1	1000	1	0.9	4.8	0	60	51.07007145881653
20250514 200038	1000.1	1000	1	0.9	4.8	0	60	52.070072889328
20250514 200039	1000.0	1000	1	0.9	4.8	0	60	53.0700740814209
20250514 200040	1000.1	1000	1	0.9	4.8	0	60	54.07007575035095
20250514 200041	1000.1	1000	1	0.9	4.8	0	60	55.07007694244385
20250514 200042	1000.1	1000	1	0.9	4.8	0	60	56.0700786113739
20250514 200043	1000.1	1000	1	0.9	4.8	0	60	57.0700798034668
20250514 200044	1000.1	1000	1	0.9	4.8	0	60	58.07008123397827
20250514 200045	1000.0	1000	1	0.9	4.8	0	60	59.070082664489746
20250514 200046	1000.1	900	2	0.9	4.8	0	60	60.13008427619934
20250514 200047	922.2	900	2	0.9	4.8	0	60	61.12008547782898
20250514 200048	903.1	900	2	0.9	4.9	0	60	62.120086908340454
20250514 200049	898.4	900	2	0.9	4.9	0	60	63.12008833885193
20250514 200050	899.5	900	2	0.9	4.9	0	60	64.1200897693634
20250514 200051	900.8	900	2	0.9	4.9	0	60	65.1200909614563
20250514 200052	900.0	900	2	0.9	4.9	0	60	66.12009239196777
20250514 200053	899.5	900	2	0.9	4.9	0	60	67.12009382247925
20250514 200054	899.9	900	2	0.9	4.9	0	60	68.12009525299072
20250514 200055	900.3	900	2	0.9	4.9	0	60	69.1200966835022
20250514 200056	900.2	900	2	0.9	4.9	0	60	70.12009811401367
20250514 200057	899.8	900	2	0.9	4.9	0	60	71.12009930610657
20250514 200058	899.8	900	2	0.9	4.9	0	60	72.12010097503662
20250514 200059	900.0	900	2	0.9	4.9	0	60	73.12010216712952
20250514 200100	900.0	900	2	0.9	4.9	0	60	74.12010383605957
20250514 200101	900.1	900	2	0.9	4.9	0	60	75.12010502815247
20250514 200102	900.1	900	2	0.9	4.9	0	60	76.12010645866394
20250514 200103	900.1	900	2	0.9	4.9	0	60	77.12010788917542
20250514 200104	900.2	900	2	0.9	4.9	0	60	78.12010931968689
20250514 200105	900.2	900	2	0.8	4.9	0	60	79.12011075019836
20250514 200106	900.2	900	2	0.8	4.9	0	60	80.12011218070984
20250514 200107	900.2	900	2	0.8	4.9	0	60	81.12011337280273
20250514 200108	900.2	900	2	0.8	4.9	0	60	82.12011480331421
20250514 200109	900.2	900	2	0.8	4.9	0	60	83.12011623382568
20250514 200110	900.2	900	2	0.8	4.9	0	60	84.12011766433716
20250514 200111	900.2	900	2	0.8	4.9	0	60	85.12011909484863
20250514 200112	900.2	900	2	0.8	4.9	0	60	86.12012028694153
20250514 200113	900.2	900	2	0.8	4.9	0	60	87.12012195587158
20250514 200114	900.2	900	2	0.8	4.9	0	60	88.12012314796448
20250514 200115	900.2	900	2	0.8	4.9	0	60	89.12012481689453
20250514 200116	900.2	900	2	0.8	4.9	0	60	90.12012600898743
20250514 200117	900.2	900	2	0.8	4.9	0	60	91.1201274394989
20250514 200118	900.2	900	2	0.8	4.9	0	60	92.12012887001038
20250514 200119	900.2	900	2	0.8	4.9	0	60	93.12013030052185
20250514 200120	900.2	900	2	0.8	4.9	0	60	94.12013173103333
20250514 200121	900.2	900	2	0.8	4.9	0	60	95.1201331615448
20250514 200122	900.2	900	2	0.8	4.9	0	60	96.1201343536377
20250514 200123	900.2	900	2	0.8	4.9	0	60	97.12013578414917
20250514 200124	900.2	900	2	0.8	4.9	0	60	98.12013721466064
