Sample1_Ex340_Em440,,Sample1_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
69.00416565,404.8783569,69.01443481,182.4056854,
69.50416565,409.7713928,69.51443481,185.3087769,
70.00416565,412.1980591,70.01443481,186.4421844,
70.50416565,418.6800537,70.51443481,186.8523102,
71.00416565,420.1071777,71.01448059,182.5550079,
71.50416565,419.2581787,71.51448059,180.0709381,
72.00416565,424.546875,72.01443481,181.6828003,
72.50416565,429.8411865,72.51448059,184.7776337,
73.00416565,420.2172852,73.01443481,184.6716614,
73.50416565,424.3843994,73.51448059,180.6824799,
74.00416565,425.0053406,74.01443481,185.1211395,
74.50416565,420.9769592,74.51448059,184.8653564,
75.00416565,425.875946,75.01443481,181.7280273,
75.50416565,421.9315796,75.51443481,186.5811768,
76.00416565,423.8110046,76.01443481,184.771759,
76.50416565,423.309845,76.51443481,187.9168091,
77.00416565,421.5722656,77.01443481,182.9698792,
77.50416565,413.2311401,77.51448059,189.8240356,
78.00416565,419.6137695,78.01443481,177.8304291,
78.50416565,414.1494751,78.51443481,185.9054718,
79.00416565,407.0382385,79.01443481,184.401474,
79.50416565,400.1419983,79.51448059,181.3300018,
80.00416565,404.1195679,80.01443481,185.7843323,
80.50416565,398.291748,80.51448059,181.9975128,
81.00416565,401.3146362,81.01443481,181.0787811,
81.50416565,395.5687561,81.51448059,180.4922791,
82.00416565,395.3163452,82.01443481,181.1722107,
82.50416565,390.3673706,82.51448059,179.055191,
83.00416565,382.8380737,83.01443481,181.7280884,
83.50416565,385.1282959,83.51448059,185.9542694,
84.00416565,395.1032715,84.01443481,183.6271515,
84.50416565,384.7027893,84.51443481,180.8483124,
85.00416565,381.4824524,85.01443481,180.3072815,
85.50416565,381.4801636,85.51443481,185.4159393,
86.00416565,382.9837646,86.01443481,185.5953217,
86.50416565,378.8588562,86.51443481,183.4951477,
87.00416565,381.1567688,87.01448059,183.1588898,
87.50416565,382.0021973,87.51448059,183.401535,
88.00416565,380.9422302,88.01443481,181.5527649,
88.50416565,369.4088745,88.51448059,177.3423462,
89.00416565,376.8519592,89.01443481,178.4692078,
89.50416565,371.7119751,89.51448059,182.2489471,
90.00416565,380.4840698,90.01443481,178.016861,
90.50416565,370.751709,90.51448059,185.336731,
91.00416565,377.9717407,91.01443481,181.8400116,
91.50416565,379.4108887,91.51448059,184.3293915,
92.00416565,376.9693298,92.01443481,180.1231232,
92.50416565,370.8791199,92.51450348,182.7640228,
93.00416565,375.3087463,93.01443481,188.4956512,
93.50416565,376.1039124,93.51448059,183.2128754,
94.00416565,373.4858398,94.01443481,182.3540649,
94.50416565,374.1646729,94.51443481,180.3907013,
95.00416565,374.6298523,95.01443481,180.6927185,
95.50416565,377.6965027,95.51443481,186.0080261,
96.00416565,377.2884521,96.01443481,183.5871124,
96.50416565,373.1356201,96.51443481,184.250824,
97.00416565,373.5074768,97.01448059,183.869812,
97.50416565,372.2295837,97.51443481,180.6553802,
98.00416565,382.6920166,98.01448059,180.9910278,
98.50416565,383.3061218,98.51443481,180.2099304,
99.00416565,379.1199951,99.01443481,187.0322266,
99.50416565,377.6760254,99.51443481,181.5362701,
100.0041656,375.4964294,100.0144348,179.781723,
100.5041656,378.4700317,100.5144348,185.0350647,
101.0041656,377.0357971,101.0144806,182.669754,
101.5041656,374.62146,101.5144806,183.4246979,
102.0041656,378.4733887,102.0144348,181.1418457,
102.5041656,361.6702576,102.5144806,186.5954895,
103.0041656,366.8812256,103.0144348,182.5301514,
103.5041656,344.5911255,103.5144348,182.2161407,
104.0041656,345.2827759,104.0144806,183.5482635,
104.5041656,302.3565063,104.5144348,179.7213898,
105.0041656,296.9217224,105.0144348,181.2287903,
105.5041656,214.7105865,105.5144348,189.3695679,
106.0041656,207.2501373,106.0144348,189.9713745,
106.5041656,194.1421204,106.5144348,197.2796021,
107.0041656,190.6239624,107.0144348,197.4810333,
107.5041656,186.6516724,107.5144348,194.1861572,
108.0041656,181.599823,108.0144348,187.3144073,
108.5041656,172.7953186,108.5144806,193.0057678,
109.0041656,174.9158325,109.0144348,193.2791443,
109.5041656,162.3117065,109.5144348,191.2471466,
110.0041656,163.0889587,110.0144348,187.4658356,
110.5041656,165.5200195,110.5144348,187.4872284,
111.0041656,156.9597168,111.0144348,183.5150909,
111.5041656,149.5137024,111.5144348,184.8643646,
112.0041656,154.5260925,112.0144348,181.6109619,
112.5041656,150.375,112.5144348,180.930069,
113.0041656,150.2446747,113.0144348,182.444397,
113.5041656,157.6875153,113.5144348,181.5700989,
114.0041656,153.1128235,114.0144348,183.0890198,
114.5041656,161.7929382,114.5144348,186.750946,
115.0041656,164.2546539,115.0144348,186.8974915,
115.5041656,169.8446503,115.5144348,184.6682281,
116.0041656,169.9477692,116.0144348,185.0651855,
116.5041656,182.9280548,116.5144348,188.3425751,
117.0041656,179.7227478,117.0145035,190.5066986,
117.5041656,183.3855286,117.5144348,188.6555634,
118.0041656,189.182373,118.0144348,196.1997833,
118.5041656,200.3948975,118.5144348,194.5682526,
119.0041656,198.6250153,119.0144806,190.2645874,
119.5041656,206.708313,119.5144348,196.2528076,
120.0041656,208.3307037,120.0144348,196.5296021,
120.5041656,315.8380127,120.5144348,181.3284302,
121.0041656,321.800415,121.0144348,184.2238007,
121.5041656,351.3690186,121.5144348,182.9780731,
122.0041656,350.0945129,122.0144806,182.961731,
122.5041656,371.6566772,122.5144348,182.2793121,
123.0041656,370.004303,123.0144806,184.9780731,
123.5041656,371.0249634,123.5144348,181.7681732,
124.0041656,374.8938293,124.0144348,182.6736298,
124.5041656,375.1012878,124.5144348,183.2330017,
125.0041656,370.9219055,125.0144348,185.3288727,
125.5041656,368.5336304,125.5144348,181.2304382,
126.0041656,370.6766052,126.0144348,183.945282,
126.5041656,370.6079407,126.5144806,180.5419922,
127.0041656,362.4929199,127.0144348,182.869812,
127.5041656,361.0519714,127.5144806,179.9731445,
128.0041656,360.7120361,128.0144348,181.0328217,
128.5041656,351.025238,128.5144806,183.6022644,
129.0041656,346.6150513,129.0144348,186.5180817,
129.5041656,338.7759399,129.5144348,179.5474854,
130.0041656,328.0515137,130.0144348,182.7145996,
130.5041656,314.7831421,130.5144348,177.472229,
131.0041656,299.1867371,131.0144348,174.0725861,
131.5041656,278.1453857,131.5144806,178.4097137,
132.0041656,254.8542023,132.0144806,178.8359222,
