250bar_Ex340_Em440,,250bar_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
174.5041656,383.0686951,174.5144806,235.8181763,
175.0041656,384.533783,175.0144806,232.6236572,
175.5041656,384.6256104,175.5144806,240.4301605,
176.0041656,389.9649963,176.0144806,243.2744598,
176.5041656,383.0172424,176.5144806,237.3614044,
177.0041656,387.3414612,177.0144806,233.874588,
177.5041656,384.9662476,177.5144806,237.9348755,
178.0041656,378.1855469,178.0144806,235.6221771,
178.5041656,375.9110107,178.5144806,237.7111664,
179.0041656,374.508606,179.0144806,237.5213165,
179.5041656,369.9813843,179.5144806,236.2379303,
180.0041656,370.4090271,180.0144806,239.2457581,
180.5041656,365.1767273,180.5144806,235.7415924,
181.0041656,356.3627014,181.0144806,238.5129242,
181.5041656,361.7034302,181.5144806,234.098526,
182.0041656,352.0198669,182.0144806,234.2567444,
182.5041656,349.6156921,182.5144806,236.3034973,
183.0041656,347.5291748,183.0144806,232.544754,
183.5041656,337.0805359,183.5145416,236.0561829,
184.0041656,336.2272034,184.0144806,230.8037567,
184.5041656,337.1571045,184.5144806,228.7477417,
185.0041656,331.0718384,185.0144806,230.8587494,
185.5041656,325.0713806,185.5144806,233.8418427,
186.0041656,328.9429016,186.0144806,232.3794861,
186.5041656,326.8196716,186.5144806,229.6641693,
187.0041656,320.4033203,187.0144806,231.0665283,
187.5041656,327.8813782,187.5144958,229.9128571,
188.0041656,323.7401123,188.0144806,228.6348419,
188.5041656,319.4134827,188.5144806,230.2195282,
189.0041656,325.1829834,189.0144806,232.4438171,
189.5041656,326.7930603,189.5144806,230.1746368,
190.0041656,315.3998108,190.0144806,231.0054474,
190.5041656,320.2497559,190.5144806,225.9157715,
191.0041656,315.0944519,191.0144806,232.2558441,
191.5041656,310.6038513,191.5144806,226.9031067,
192.0041656,315.3667297,192.0144806,228.8557892,
192.5041656,318.15448,192.5144806,227.4465637,
193.0041656,323.6750793,193.0144806,224.8504791,
193.5041656,315.5534973,193.5144806,227.8896637,
194.0041656,314.3525085,194.0144806,226.4663239,
194.5041656,316.396759,194.5144806,231.8258972,
195.0041656,315.2840881,195.0144806,232.5419464,
195.5041656,314.7434998,195.5144806,230.2194366,
196.0041656,310.2573547,196.0144806,232.2781219,
196.5041656,315.1602173,196.5144806,228.0107269,
197.0041656,312.6325989,197.0144806,235.8378448,
197.5041656,311.3498535,197.5145416,228.6557159,
198.0041656,311.4142456,198.0144806,234.3999481,
198.5041656,312.8832092,198.5144806,230.4969025,
199.0041656,311.9399719,199.0144806,228.5083771,
199.5041656,314.5427856,199.5144806,230.572937,
200.0041656,320.5049744,200.0144806,230.342926,
200.5041656,321.8375854,200.5144806,225.1044617,
201.0041656,316.5170288,201.0144806,226.6617432,
201.5041656,318.2131348,201.5144806,228.2568665,
202.0041656,313.9201965,202.0144806,228.2642059,
202.5041656,316.3491821,202.5144806,234.2274475,
203.0041656,309.822052,203.0144806,231.6352081,
203.5041656,316.6977844,203.5144806,234.7277832,
204.0041656,319.9330139,204.0144806,227.5679779,
204.5041656,308.7765808,204.5144806,230.2045288,
205.0041656,311.3988647,205.0144806,230.1676636,
205.5041656,300.5146179,205.5144806,228.8450012,
206.0041656,303.1167603,206.0144806,229.0414734,
206.5041656,300.045929,206.5144806,231.3536377,
207.0041656,295.8108521,207.0144806,227.9669189,
207.5041656,286.6832275,207.5144806,227.3755035,
208.0041656,287.8154297,208.0144806,228.8412933,
208.5041656,280.6292114,208.5144806,228.3527069,
209.0041656,281.8363037,209.0144806,226.6610718,
209.5041656,273.5990906,209.5144806,221.8873291,
210.0041656,274.2593079,210.0144806,222.3647003,
210.5041656,262.8144531,210.5144806,228.0085449,
211.0041656,264.7615051,211.0144806,229.838913,
211.5041656,257.9780579,211.5144806,224.1960602,
212.0041656,254.1157532,212.0144806,219.1797638,
212.5041656,244.7489624,212.5144806,223.9162292,
213.0041656,244.2659302,213.0144806,220.7133026,
213.5041656,241.8809204,213.5144806,217.8881989,
214.0041656,244.2233734,214.0144806,221.6630859,
214.5041656,234.2904205,214.5144806,217.6581573,
215.0041656,242.8136902,215.0144806,220.5288696,
215.5041656,245.816391,215.5144806,225.3918304,
216.0041656,240.8575745,216.0144806,224.2490082,
216.5041656,245.5833893,216.5145416,221.7507782,
217.0041656,251.7051392,217.0144806,218.3436737,
217.5041656,257.6919861,217.5144806,222.6381226,
218.0041656,255.9350128,218.0144806,217.8306122,
218.5041656,260.4658508,218.5144806,223.2055664,
219.0041656,265.4211731,219.0144806,229.2243195,
219.5041656,270.6707153,219.5144806,227.5725708,
220.0041656,273.5574036,220.0144806,223.3189545,
220.5041656,274.8498535,220.5144806,225.2632751,
221.0041656,273.8847961,221.0144806,227.4562988,
221.5041656,288.9646606,221.5144806,223.1227112,
222.0041656,288.2576294,222.0144806,225.7198792,
222.5041656,289.3842468,222.5144806,225.8715057,
223.0041656,292.7874451,223.0144806,234.4986572,
223.5041656,303.9240723,223.5144806,228.676712,
224.0041656,300.3574524,224.0144806,228.8228149,
224.5041656,308.1260986,224.5144806,233.8612823,
225.0041656,313.2892151,225.0144806,234.6539764,
225.5041656,311.7816162,225.5144806,229.5057983,
226.0041656,317.8168335,226.0144806,231.3796997,
226.5041656,317.938385,226.5144806,231.5372467,
227.0041656,311.7268982,227.0144806,230.7512817,
227.5041656,314.9735413,227.5144806,231.6157074,
228.0041656,310.729126,228.0144806,229.1855164,
228.5041656,306.556488,228.5144806,227.6696167,
229.0041656,310.5290833,229.0144806,226.8463593,
229.5041656,303.4052124,229.5145416,227.9295197,
230.0041656,299.1038208,230.0144806,224.3152618,
230.5041656,300.2922363,230.5144806,224.8591309,
231.0041656,293.2590942,231.0144806,228.2696533,
231.5041656,294.7378845,231.5144806,224.7465668,
232.0041656,290.0337219,232.0144806,224.7806549,
232.5041656,282.2261658,232.5145416,224.0329437,
233.0041656,280.4334412,233.0144806,219.5702972,
233.5041656,280.0386658,233.5144806,221.776062,
234.0041656,276.5780029,234.0144806,217.0472107,
234.5041656,265.7224731,234.5144806,216.5620728,
235.0041656,268.6687927,235.0144806,211.9816284,
235.5041656,263.945282,235.5144806,221.4060822,
236.0041656,258.112854,236.0144806,214.2138062,
236.5041656,265.6342163,236.5144806,213.6450348,
237.0041656,261.0024414,237.0144806,217.8551941,
237.5041656,258.3674011,237.5144806,211.9454651,
238.0041656,254.0699615,238.0144806,213.5392303,
238.5041656,258.6250916,238.5144806,209.5829926,
239.0041656,252.2531433,239.0144806,211.9854126,
239.5041656,250.4487,239.5144806,209.0833282,
240.0041656,253.8543701,240.0144806,209.5544891,
240.5041656,251.7703705,240.5144806,207.2070923,
241.0041656,253.0517578,241.0144806,211.8278503,
241.5041656,253.9617157,241.5144806,212.8264465,
242.0041656,256.6511536,242.0144806,211.970993,
242.5041656,250.7168579,242.5144806,209.1571198,
243.0041656,251.7507935,243.0144806,207.6730957,
243.5041656,252.9958496,243.5144806,207.2137756,
244.0041656,256.0752869,244.0144806,213.6302032,
244.5041656,257.4588623,244.5144806,210.7636414,
245.0041656,256.0158081,245.0144806,210.556015,
245.5041656,250.9657745,245.5144806,206.2529297,
246.0041656,254.0156555,246.0144806,212.0699921,
246.5041656,253.059082,246.5144806,207.0135498,
247.0041656,245.8608246,247.0144806,211.3627319,
247.5041656,250.1573029,247.5144806,207.9553375,
248.0041656,250.7450867,248.0144806,210.8453674,
248.5041656,253.9127502,248.5144958,213.5885162,
249.0041656,251.9226379,249.0144806,209.3023224,
249.5041656,249.8770294,249.5144806,207.3814392,
250.0041656,253.9684448,250.0144806,214.0876465,
250.5041656,247.7578735,250.5144806,203.193222,
251.0041656,252.5613251,251.0144806,204.553833,
251.5041656,250.8374481,251.5144806,211.7554321,
252.0041656,247.0202789,252.0144806,210.4121399,
252.5041656,251.2698517,252.5144806,209.2392578,
253.0041656,248.880661,253.0144806,207.5172272,
253.5041656,255.9232941,253.5144806,207.9585724,
254.0041656,250.6333313,254.0144806,208.9934692,
254.5041656,247.462265,254.5144806,212.4076233,
255.0041656,248.6841125,255.0144806,206.3912354,
255.5041656,247.9798737,255.5144806,207.4337158,
256.0041809,248.875,256.0144958,208.7942963,
256.5041809,240.9798889,256.5144958,208.6686096,
257.0041809,241.5433044,257.0144958,206.8284302,
257.5041809,231.3006439,257.5144958,204.2758636,
258.0041809,239.6001434,258.0144958,206.370575,
258.5041809,233.4464417,258.5144958,205.1319885,
259.0041809,230.4092255,259.0144958,203.5305786,
259.5041809,221.715271,259.5144958,200.8630524,
260.0041809,227.1219635,260.0144958,200.8725586,
260.5041809,215.8083496,260.5144958,204.5774994,
261.0041809,212.3313599,261.0144958,202.2285309,
261.5041809,209.9491577,261.5144958,199.5533752,
262.0041809,209.1070862,262.0144958,199.108017,
262.5041809,199.6416168,262.5144958,197.9264374,
263.0041809,202.2983093,263.0144958,197.5222778,
263.5041809,196.1235352,263.5145264,193.7915649,
264.0041809,197.114151,264.0144958,193.7520599,
264.5041809,187.0047913,264.5144958,192.5208588,
265.0041809,194.5635986,265.0144958,192.8788605,
265.5041809,188.5822906,265.5144958,194.9856873,
266.0041809,187.4946442,266.0144958,191.8752289,
266.5041809,192.454483,266.5144958,191.2745514,
267.0041809,193.7181702,267.0145264,192.8163605,
267.5041809,195.3856964,267.5144958,194.2907867,
268.0041809,197.4671783,268.0144958,194.4813538,
268.5041809,205.7390594,268.5144958,194.2809601,
269.0041809,203.6378174,269.0144958,195.2587738,
269.5041809,212.1038513,269.5144958,196.4429626,
270.0041809,211.7028046,270.0144958,201.7494202,
270.5041809,217.6678925,270.5144958,195.4014435,
271.0041809,216.1181946,271.0144958,198.4229584,
271.5041809,222.5080719,271.5144958,202.5844116,
272.0041809,220.2777405,272.0144958,197.7742767,
272.5041809,231.3942413,272.5144958,204.9378815,
273.0041809,228.771286,273.0144958,200.5631561,
273.5041809,228.1820984,273.5144958,203.1445007,
274.0041809,239.0926208,274.0144958,206.0122833,
274.5041809,238.9917145,274.5144958,207.2429657,
275.0041809,243.9820709,275.0144958,210.5399323,
275.5041809,250.2292328,275.5145569,212.4798431,
276.0041809,246.3986664,276.0144958,206.6118774,
276.5041809,253.8913422,276.5144958,214.3787079,
277.0041809,245.2132874,277.0144958,209.2497406,
277.5041809,245.97789,277.5144958,209.1156158,
278.0041809,248.8953094,278.0144958,210.8636322,
278.5041809,244.9960785,278.5144958,207.7328491,
279.0041809,249.5630646,279.0144958,209.3381958,
